,Candidate_1,Candidate_2,Candidate_3
0,1.0,2.0,3.0
1,3.0,1.0,2.0
2,1.0,3.0,2.0
3,3.0,1.0,2.0
4,1.0,0.0,0.0
5,3.0,2.0,1.0
6,3.0,1.0,2.0
7,1.0,0.0,0.0
8,2.0,3.0,1.0
9,2.0,3.0,1.0
10,2.0,3.0,1.0
11,1.0,0.0,0.0
12,3.0,1.0,2.0
13,1.0,3.0,2.0
14,3.0,1.0,2.0
15,2.0,3.0,1.0
16,0.0,2.0,1.0
17,3.0,1.0,2.0
18,3.0,2.0,1.0
19,1.0,3.0,2.0
20,3.0,0.0,2.0
21,1.0,0.0,0.0
22,3.0,2.0,1.0
23,1.0,3.0,2.0
24,1.0,0.0,0.0
25,1.0,2.0,3.0
26,3.0,1.0,2.0
27,1.0,2.0,3.0
28,1.0,2.0,3.0
29,3.0,1.0,2.0
30,3.0,1.0,2.0
31,2.0,3.0,1.0
32,1.0,0.0,0.0
33,2.0,1.0,3.0
34,3.0,1.0,2.0
35,3.0,0.0,2.0
36,1.0,3.0,2.0
37,1.0,3.0,2.0
38,1.0,2.0,3.0
39,1.0,0.0,0.0
40,2.0,3.0,1.0
41,2.0,1.0,3.0
42,3.0,2.0,1.0
43,2.0,1.0,3.0
44,2.0,1.0,3.0
45,0.0,2.0,1.0
46,1.0,2.0,3.0
47,1.0,0.0,0.0
48,2.0,1.0,3.0
49,3.0,2.0,1.0
50,1.0,2.0,3.0
51,2.0,3.0,1.0
52,2.0,1.0,3.0
53,2.0,1.0,3.0
54,1.0,2.0,3.0
55,1.0,0.0,0.0
56,0.0,2.0,1.0
57,2.0,3.0,1.0
58,2.0,1.0,3.0
59,3.0,1.0,2.0
60,1.0,0.0,0.0
61,3.0,2.0,1.0
62,1.0,0.0,0.0
63,3.0,0.0,2.0
64,3.0,1.0,2.0
65,0.0,2.0,1.0
66,1.0,2.0,3.0
67,3.0,0.0,2.0
68,2.0,3.0,1.0
69,2.0,1.0,3.0
70,3.0,2.0,1.0
71,1.0,2.0,3.0
72,2.0,3.0,1.0
73,3.0,1.0,2.0
74,1.0,0.0,0.0
75,3.0,1.0,2.0
76,2.0,1.0,3.0
77,3.0,1.0,2.0
78,1.0,2.0,3.0
79,3.0,1.0,2.0
80,3.0,1.0,2.0
81,2.0,3.0,1.0
82,1.0,0.0,0.0
83,3.0,2.0,1.0
84,2.0,3.0,1.0
85,3.0,1.0,2.0
86,3.0,2.0,1.0
87,3.0,1.0,2.0
88,2.0,1.0,3.0
89,1.0,2.0,3.0
90,3.0,1.0,2.0
91,1.0,2.0,3.0
92,2.0,1.0,3.0
93,1.0,3.0,2.0
94,2.0,3.0,1.0
95,2.0,3.0,1.0
96,1.0,3.0,2.0
97,1.0,3.0,2.0
98,1.0,0.0,0.0
99,2.0,3.0,1.0
100,2.0,1.0,3.0
101,1.0,3.0,2.0
102,2.0,3.0,1.0
103,1.0,2.0,3.0
104,2.0,1.0,3.0
105,1.0,3.0,2.0
106,1.0,3.0,2.0
107,3.0,1.0,2.0
108,3.0,0.0,2.0
109,2.0,3.0,1.0
110,2.0,1.0,3.0
111,2.0,3.0,1.0
112,1.0,2.0,3.0
113,3.0,2.0,1.0
114,1.0,3.0,2.0
115,2.0,3.0,1.0
116,2.0,3.0,1.0
117,1.0,3.0,2.0
118,3.0,2.0,1.0
119,2.0,3.0,1.0
120,1.0,2.0,3.0
121,3.0,2.0,1.0
122,1.0,3.0,2.0
123,3.0,1.0,2.0
124,3.0,1.0,2.0
125,0.0,2.0,1.0
126,3.0,1.0,2.0
127,1.0,3.0,2.0
128,3.0,2.0,1.0
129,3.0,0.0,2.0
130,1.0,3.0,2.0
131,1.0,2.0,3.0
132,0.0,2.0,1.0
133,3.0,2.0,1.0
134,3.0,1.0,2.0
135,0.0,2.0,1.0
136,1.0,2.0,3.0
137,2.0,1.0,3.0
138,3.0,0.0,2.0
139,1.0,3.0,2.0
140,2.0,3.0,1.0
141,1.0,3.0,2.0
142,1.0,3.0,2.0
143,3.0,2.0,1.0
144,1.0,3.0,2.0
145,1.0,2.0,3.0
146,2.0,3.0,1.0
147,0.0,2.0,1.0
148,3.0,2.0,1.0
149,1.0,3.0,2.0
150,3.0,1.0,2.0
151,3.0,2.0,1.0
152,1.0,2.0,3.0
153,3.0,2.0,1.0
154,3.0,1.0,2.0
155,3.0,2.0,1.0
156,2.0,1.0,3.0
157,2.0,3.0,1.0
158,3.0,2.0,1.0
159,0.0,2.0,1.0
160,3.0,1.0,2.0
161,1.0,3.0,2.0
162,3.0,2.0,1.0
163,2.0,1.0,3.0
164,3.0,2.0,1.0
165,2.0,1.0,3.0
166,2.0,1.0,3.0
167,1.0,2.0,3.0
168,3.0,1.0,2.0
169,3.0,2.0,1.0
170,1.0,3.0,2.0
171,2.0,3.0,1.0
172,3.0,2.0,1.0
173,3.0,0.0,2.0
174,3.0,2.0,1.0
175,1.0,0.0,0.0
176,1.0,3.0,2.0
177,1.0,0.0,0.0
178,1.0,0.0,0.0
179,1.0,3.0,2.0
180,2.0,3.0,1.0
181,1.0,2.0,3.0
182,2.0,1.0,3.0
183,2.0,3.0,1.0
184,2.0,3.0,1.0
185,2.0,1.0,3.0
186,2.0,3.0,1.0
187,1.0,0.0,0.0
188,1.0,0.0,0.0
189,3.0,2.0,1.0
190,1.0,2.0,3.0
191,3.0,1.0,2.0
192,1.0,3.0,2.0
193,1.0,2.0,3.0
194,1.0,3.0,2.0
195,3.0,1.0,2.0
196,2.0,3.0,1.0
197,2.0,3.0,1.0
198,3.0,2.0,1.0
199,2.0,3.0,1.0
200,3.0,2.0,1.0
201,1.0,3.0,2.0
202,1.0,2.0,3.0
203,1.0,3.0,2.0
204,0.0,2.0,1.0
205,2.0,3.0,1.0
206,3.0,2.0,1.0
207,1.0,0.0,0.0
208,1.0,3.0,2.0
209,2.0,1.0,3.0
210,1.0,3.0,2.0
211,1.0,3.0,2.0
212,1.0,3.0,2.0
213,3.0,2.0,1.0
214,1.0,0.0,0.0
215,2.0,1.0,3.0
216,2.0,1.0,3.0
217,2.0,3.0,1.0
218,2.0,3.0,1.0
219,2.0,1.0,3.0
220,3.0,1.0,2.0
221,2.0,3.0,1.0
222,3.0,2.0,1.0
223,0.0,2.0,1.0
224,3.0,1.0,2.0
225,1.0,2.0,3.0
226,2.0,3.0,1.0
227,2.0,3.0,1.0
228,2.0,1.0,3.0
229,1.0,2.0,3.0
230,3.0,2.0,1.0
231,3.0,1.0,2.0
232,1.0,3.0,2.0
233,1.0,0.0,0.0
234,3.0,2.0,1.0
235,3.0,2.0,1.0
236,2.0,3.0,1.0
237,1.0,3.0,2.0
238,1.0,2.0,3.0
239,1.0,2.0,3.0
240,1.0,3.0,2.0
241,3.0,2.0,1.0
242,1.0,0.0,0.0
243,1.0,3.0,2.0
244,3.0,1.0,2.0
245,1.0,2.0,3.0
246,3.0,0.0,2.0
247,3.0,2.0,1.0
248,1.0,2.0,3.0
249,2.0,1.0,3.0
250,3.0,0.0,2.0
251,3.0,2.0,1.0
252,0.0,2.0,1.0
253,3.0,1.0,2.0
254,2.0,1.0,3.0
255,1.0,2.0,3.0
256,1.0,2.0,3.0
257,1.0,3.0,2.0
258,0.0,2.0,1.0
259,3.0,1.0,2.0
260,3.0,1.0,2.0
261,2.0,3.0,1.0
262,2.0,3.0,1.0
263,2.0,3.0,1.0
264,3.0,1.0,2.0
265,2.0,3.0,1.0
266,2.0,1.0,3.0
267,2.0,3.0,1.0
268,1.0,2.0,3.0
269,3.0,1.0,2.0
270,2.0,3.0,1.0
271,2.0,3.0,1.0
272,1.0,0.0,0.0
273,1.0,2.0,3.0
274,3.0,2.0,1.0
275,2.0,3.0,1.0
276,1.0,2.0,3.0
277,2.0,3.0,1.0
278,3.0,2.0,1.0
279,3.0,2.0,1.0
