,Candidate_1,Candidate_2,Candidate_3
0,1.0,0.0,0.0
1,2.0,1.0,3.0
2,1.0,0.0,0.0
3,3.0,1.0,2.0
4,1.0,3.0,2.0
5,3.0,1.0,2.0
6,3.0,0.0,2.0
7,0.0,2.0,1.0
8,3.0,1.0,2.0
9,1.0,3.0,2.0
10,2.0,1.0,3.0
11,3.0,1.0,2.0
12,1.0,3.0,2.0
13,3.0,1.0,2.0
14,1.0,0.0,0.0
15,2.0,3.0,1.0
16,2.0,3.0,1.0
17,1.0,2.0,3.0
18,1.0,2.0,3.0
19,1.0,2.0,3.0
20,1.0,0.0,0.0
21,3.0,0.0,2.0
22,3.0,1.0,2.0
23,2.0,3.0,1.0
24,2.0,1.0,3.0
25,1.0,3.0,2.0
26,3.0,1.0,2.0
27,3.0,2.0,1.0
28,1.0,2.0,3.0
29,0.0,2.0,1.0
30,3.0,2.0,1.0
31,2.0,3.0,1.0
32,1.0,2.0,3.0
33,2.0,3.0,1.0
34,1.0,0.0,0.0
35,3.0,2.0,1.0
36,3.0,0.0,2.0
37,1.0,3.0,2.0
38,2.0,3.0,1.0
39,1.0,3.0,2.0
40,1.0,2.0,3.0
41,0.0,2.0,1.0
42,1.0,2.0,3.0
43,1.0,2.0,3.0
44,2.0,1.0,3.0
45,3.0,0.0,2.0
46,2.0,1.0,3.0
47,3.0,1.0,2.0
48,1.0,0.0,0.0
49,3.0,2.0,1.0
50,1.0,0.0,0.0
51,3.0,2.0,1.0
52,1.0,2.0,3.0
53,3.0,2.0,1.0
54,3.0,2.0,1.0
55,1.0,3.0,2.0
56,3.0,2.0,1.0
57,3.0,0.0,2.0
58,2.0,3.0,1.0
59,2.0,1.0,3.0
60,0.0,2.0,1.0
61,3.0,1.0,2.0
62,2.0,1.0,3.0
63,3.0,0.0,2.0
64,1.0,3.0,2.0
65,3.0,2.0,1.0
66,2.0,1.0,3.0
67,3.0,2.0,1.0
68,2.0,3.0,1.0
69,3.0,0.0,2.0
70,2.0,1.0,3.0
71,3.0,0.0,2.0
72,1.0,2.0,3.0
73,3.0,0.0,2.0
74,3.0,1.0,2.0
75,3.0,2.0,1.0
76,2.0,1.0,3.0
77,2.0,3.0,1.0
78,1.0,3.0,2.0
79,3.0,1.0,2.0
80,2.0,3.0,1.0
81,1.0,2.0,3.0
82,3.0,0.0,2.0
83,3.0,2.0,1.0
84,1.0,3.0,2.0
85,1.0,0.0,0.0
86,3.0,1.0,2.0
87,2.0,3.0,1.0
88,1.0,0.0,0.0
89,0.0,2.0,1.0
90,1.0,3.0,2.0
91,1.0,0.0,0.0
92,3.0,0.0,2.0
93,2.0,1.0,3.0
94,0.0,2.0,1.0
95,2.0,1.0,3.0
96,1.0,3.0,2.0
97,2.0,3.0,1.0
98,2.0,3.0,1.0
99,1.0,0.0,0.0
100,2.0,3.0,1.0
101,3.0,1.0,2.0
102,2.0,1.0,3.0
103,1.0,3.0,2.0
104,3.0,2.0,1.0
105,2.0,1.0,3.0
106,2.0,1.0,3.0
107,1.0,2.0,3.0
108,3.0,2.0,1.0
109,3.0,1.0,2.0
110,1.0,0.0,0.0
111,2.0,1.0,3.0
112,1.0,0.0,0.0
113,2.0,1.0,3.0
114,2.0,3.0,1.0
115,2.0,3.0,1.0
116,3.0,1.0,2.0
117,1.0,0.0,0.0
118,1.0,3.0,2.0
119,3.0,0.0,2.0
120,1.0,2.0,3.0
121,2.0,3.0,1.0
122,2.0,3.0,1.0
123,0.0,2.0,1.0
124,1.0,0.0,0.0
125,2.0,3.0,1.0
126,2.0,1.0,3.0
127,3.0,1.0,2.0
128,2.0,3.0,1.0
129,3.0,1.0,2.0
130,3.0,2.0,1.0
131,2.0,3.0,1.0
132,1.0,3.0,2.0
133,1.0,2.0,3.0
134,2.0,3.0,1.0
135,2.0,3.0,1.0
136,1.0,3.0,2.0
137,3.0,1.0,2.0
138,3.0,0.0,2.0
139,1.0,3.0,2.0
140,1.0,0.0,0.0
141,1.0,3.0,2.0
142,3.0,2.0,1.0
143,2.0,3.0,1.0
144,2.0,3.0,1.0
145,1.0,2.0,3.0
146,1.0,2.0,3.0
147,1.0,0.0,0.0
148,2.0,3.0,1.0
149,1.0,3.0,2.0
150,1.0,0.0,0.0
151,2.0,1.0,3.0
152,3.0,1.0,2.0
153,3.0,2.0,1.0
154,2.0,3.0,1.0
155,1.0,2.0,3.0
156,2.0,3.0,1.0
157,1.0,2.0,3.0
158,3.0,2.0,1.0
159,2.0,1.0,3.0
160,1.0,2.0,3.0
161,3.0,1.0,2.0
162,3.0,2.0,1.0
163,1.0,0.0,0.0
164,1.0,0.0,0.0
165,1.0,2.0,3.0
166,2.0,3.0,1.0
167,3.0,2.0,1.0
168,3.0,2.0,1.0
169,2.0,3.0,1.0
170,1.0,2.0,3.0
171,3.0,2.0,1.0
172,1.0,2.0,3.0
173,1.0,0.0,0.0
174,1.0,3.0,2.0
175,2.0,3.0,1.0
176,1.0,3.0,2.0
177,1.0,0.0,0.0
178,1.0,2.0,3.0
179,3.0,2.0,1.0
180,3.0,1.0,2.0
181,2.0,3.0,1.0
182,0.0,2.0,1.0
183,1.0,3.0,2.0
184,2.0,3.0,1.0
185,1.0,3.0,2.0
186,1.0,3.0,2.0
187,2.0,3.0,1.0
188,2.0,3.0,1.0
189,2.0,3.0,1.0
190,3.0,1.0,2.0
191,3.0,0.0,2.0
192,1.0,0.0,0.0
193,2.0,3.0,1.0
194,3.0,2.0,1.0
195,1.0,2.0,3.0
196,2.0,3.0,1.0
197,1.0,3.0,2.0
198,1.0,0.0,0.0
199,3.0,2.0,1.0
200,3.0,1.0,2.0
201,1.0,2.0,3.0
202,3.0,2.0,1.0
203,1.0,2.0,3.0
204,3.0,1.0,2.0
205,2.0,1.0,3.0
206,0.0,2.0,1.0
207,3.0,1.0,2.0
208,2.0,3.0,1.0
209,3.0,1.0,2.0
210,1.0,2.0,3.0
211,2.0,1.0,3.0
212,2.0,1.0,3.0
213,2.0,3.0,1.0
214,2.0,1.0,3.0
215,2.0,3.0,1.0
216,3.0,2.0,1.0
217,1.0,3.0,2.0
218,1.0,2.0,3.0
219,3.0,2.0,1.0
220,2.0,3.0,1.0
221,2.0,1.0,3.0
222,3.0,0.0,2.0
223,1.0,0.0,0.0
224,2.0,1.0,3.0
225,1.0,2.0,3.0
226,2.0,3.0,1.0
227,3.0,2.0,1.0
228,1.0,2.0,3.0
229,0.0,2.0,1.0
230,2.0,3.0,1.0
231,2.0,3.0,1.0
232,1.0,2.0,3.0
233,2.0,3.0,1.0
234,1.0,3.0,2.0
235,2.0,1.0,3.0
236,1.0,2.0,3.0
237,2.0,3.0,1.0
238,2.0,3.0,1.0
239,3.0,2.0,1.0
240,3.0,1.0,2.0
241,1.0,0.0,0.0
242,3.0,0.0,2.0
243,1.0,3.0,2.0
244,1.0,3.0,2.0
245,1.0,2.0,3.0
246,2.0,3.0,1.0
247,3.0,0.0,2.0
248,3.0,2.0,1.0
249,1.0,2.0,3.0
250,3.0,0.0,2.0
251,1.0,2.0,3.0
252,1.0,3.0,2.0
253,1.0,0.0,0.0
254,2.0,3.0,1.0
255,1.0,3.0,2.0
256,2.0,3.0,1.0
257,3.0,2.0,1.0
258,3.0,0.0,2.0
259,1.0,3.0,2.0
260,1.0,2.0,3.0
261,2.0,1.0,3.0
262,3.0,1.0,2.0
263,1.0,0.0,0.0
264,3.0,0.0,2.0
265,3.0,2.0,1.0
266,2.0,1.0,3.0
267,3.0,2.0,1.0
268,3.0,1.0,2.0
269,1.0,3.0,2.0
270,2.0,1.0,3.0
271,1.0,3.0,2.0
272,1.0,3.0,2.0
273,3.0,0.0,2.0
274,3.0,1.0,2.0
275,0.0,2.0,1.0
276,1.0,3.0,2.0
277,2.0,3.0,1.0
278,2.0,1.0,3.0
279,1.0,2.0,3.0
280,1.0,2.0,3.0
281,1.0,3.0,2.0
282,3.0,1.0,2.0
283,2.0,3.0,1.0
284,1.0,2.0,3.0
285,1.0,0.0,0.0
286,3.0,1.0,2.0
287,2.0,1.0,3.0
288,3.0,0.0,2.0
289,3.0,1.0,2.0
290,1.0,2.0,3.0
291,3.0,2.0,1.0
292,2.0,1.0,3.0
293,1.0,3.0,2.0
294,2.0,3.0,1.0
295,1.0,2.0,3.0
296,1.0,3.0,2.0
297,2.0,1.0,3.0
298,2.0,3.0,1.0
299,3.0,1.0,2.0
300,3.0,2.0,1.0
301,2.0,1.0,3.0
302,1.0,0.0,0.0
303,1.0,3.0,2.0
304,2.0,3.0,1.0
305,2.0,1.0,3.0
306,1.0,0.0,0.0
307,2.0,1.0,3.0
308,3.0,1.0,2.0
309,3.0,1.0,2.0
310,1.0,3.0,2.0
311,1.0,3.0,2.0
312,1.0,2.0,3.0
313,2.0,1.0,3.0
314,1.0,2.0,3.0
315,3.0,2.0,1.0
316,3.0,2.0,1.0
317,1.0,3.0,2.0
318,1.0,3.0,2.0
319,2.0,3.0,1.0
320,2.0,3.0,1.0
321,2.0,1.0,3.0
322,2.0,1.0,3.0
323,2.0,3.0,1.0
324,3.0,2.0,1.0
325,1.0,2.0,3.0
326,0.0,2.0,1.0
327,2.0,3.0,1.0
328,3.0,0.0,2.0
329,1.0,3.0,2.0
330,3.0,2.0,1.0
331,3.0,2.0,1.0
332,2.0,3.0,1.0
333,3.0,0.0,2.0
334,1.0,2.0,3.0
335,2.0,3.0,1.0
336,2.0,1.0,3.0
337,3.0,1.0,2.0
338,3.0,0.0,2.0
339,3.0,0.0,2.0
340,1.0,3.0,2.0
341,2.0,1.0,3.0
342,3.0,0.0,2.0
343,1.0,3.0,2.0
344,2.0,3.0,1.0
345,0.0,2.0,1.0
346,1.0,2.0,3.0
347,3.0,1.0,2.0
348,3.0,1.0,2.0
349,2.0,1.0,3.0
350,3.0,2.0,1.0
351,3.0,1.0,2.0
352,2.0,3.0,1.0
353,3.0,0.0,2.0
354,1.0,2.0,3.0
355,0.0,2.0,1.0
356,1.0,3.0,2.0
357,3.0,2.0,1.0
358,1.0,3.0,2.0
359,2.0,1.0,3.0
360,1.0,0.0,0.0
361,2.0,1.0,3.0
362,3.0,1.0,2.0
363,1.0,3.0,2.0
364,2.0,1.0,3.0
365,3.0,2.0,1.0
366,3.0,2.0,1.0
367,1.0,2.0,3.0
368,2.0,1.0,3.0
369,1.0,3.0,2.0
370,3.0,0.0,2.0
371,3.0,2.0,1.0
372,2.0,3.0,1.0
373,2.0,3.0,1.0
374,0.0,2.0,1.0
375,1.0,2.0,3.0
376,2.0,3.0,1.0
377,3.0,1.0,2.0
378,1.0,0.0,0.0
379,1.0,0.0,0.0
380,1.0,3.0,2.0
381,1.0,3.0,2.0
382,3.0,1.0,2.0
383,3.0,0.0,2.0
384,3.0,2.0,1.0
385,3.0,1.0,2.0
386,1.0,0.0,0.0
387,2.0,1.0,3.0
388,0.0,2.0,1.0
389,2.0,1.0,3.0
390,2.0,1.0,3.0
391,3.0,2.0,1.0
392,1.0,3.0,2.0
393,1.0,3.0,2.0
394,3.0,0.0,2.0
395,3.0,2.0,1.0
396,3.0,1.0,2.0
397,2.0,3.0,1.0
398,2.0,3.0,1.0
399,3.0,1.0,2.0
400,1.0,0.0,0.0
401,3.0,0.0,2.0
402,1.0,2.0,3.0
403,1.0,0.0,0.0
404,3.0,1.0,2.0
405,2.0,3.0,1.0
406,3.0,2.0,1.0
407,1.0,2.0,3.0
408,3.0,0.0,2.0
409,3.0,1.0,2.0
410,1.0,0.0,0.0
411,3.0,0.0,2.0
