,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
0,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1,candidate_Andy Montroll,0,0,0,0
2,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0,0
3,candidate_Andy Montroll,candidate_Kurt Wright,0,0,0
4,candidate_Kurt Wright,0,0,0,0
5,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
6,candidate_Kurt Wright,0,0,0,0
7,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
8,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,0,0
9,candidate_Kurt Wright,0,0,0,0
10,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
11,candidate_Kurt Wright,0,0,0,0
12,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
14,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
15,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
16,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
17,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0,0
18,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,0
19,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
20,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
21,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
22,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
23,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,0
24,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson
25,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
26,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
27,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,0
28,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0,0
29,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
30,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
31,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
32,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,0
33,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,0
34,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
35,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
36,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Kurt Wright
37,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson,candidate_Kurt Wright
38,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson
39,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
40,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,candidate_James Simpson
41,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
42,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,0
43,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
44,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
45,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
46,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
47,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
48,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_James Simpson,candidate_Dan Smith
49,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
50,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0,0
51,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
52,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,candidate_James Simpson
53,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
54,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
55,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,0
56,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,0,0
57,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,0,0
58,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
59,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,0
60,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
61,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,0,0
62,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
63,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0,0
64,candidate_Kurt Wright,0,0,0,0
65,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
66,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,0,0
