,candidate_1,candidate_2,candidate_3,num_candidates,noise
0,candidate_1,candidate_2,0,3,0.32
1,0,candidate_2,candidate_3,3,0.32
2,0,candidate_2,candidate_3,3,0.32
3,0,candidate_2,0,3,0.32
4,candidate_1,0,0,3,0.32
5,0,candidate_2,candidate_3,3,0.32
6,candidate_1,candidate_2,candidate_3,3,0.32
7,0,candidate_2,0,3,0.32
8,candidate_1,candidate_2,candidate_3,3,0.32
9,candidate_1,0,0,3,0.32
10,candidate_1,candidate_2,candidate_3,3,0.32
11,0,0,0,3,0.32
12,candidate_1,0,0,3,0.32
13,candidate_1,candidate_2,0,3,0.32
14,candidate_1,candidate_2,0,3,0.32
15,candidate_1,candidate_2,candidate_3,3,0.32
16,candidate_1,0,0,3,0.32
17,candidate_1,candidate_2,candidate_3,3,0.32
18,0,0,candidate_3,3,0.32
19,candidate_1,0,0,3,0.32
20,candidate_1,candidate_2,candidate_3,3,0.32
21,candidate_1,candidate_2,candidate_3,3,0.32
22,0,0,candidate_3,3,0.32
23,0,candidate_2,candidate_3,3,0.32
24,candidate_1,candidate_2,candidate_3,3,0.32
25,candidate_1,candidate_2,candidate_3,3,0.32
26,candidate_1,candidate_2,0,3,0.32
27,0,0,candidate_3,3,0.32
28,candidate_1,candidate_2,candidate_3,3,0.32
29,candidate_1,candidate_2,candidate_3,3,0.32
30,candidate_1,candidate_2,candidate_3,3,0.32
31,candidate_1,candidate_2,candidate_3,3,0.32
32,0,0,candidate_3,3,0.32
33,candidate_1,0,0,3,0.32
34,candidate_1,candidate_2,candidate_3,3,0.32
35,0,0,candidate_3,3,0.32
36,candidate_1,candidate_2,0,3,0.32
37,candidate_1,candidate_2,candidate_3,3,0.32
38,0,candidate_2,0,3,0.32
39,candidate_1,candidate_2,candidate_3,3,0.32
40,candidate_1,candidate_2,0,3,0.32
41,candidate_1,candidate_2,candidate_3,3,0.32
42,0,0,candidate_3,3,0.32
43,candidate_1,candidate_2,0,3,0.32
44,0,candidate_2,0,3,0.32
45,candidate_1,candidate_2,0,3,0.32
46,candidate_1,candidate_2,0,3,0.32
47,candidate_1,candidate_2,0,3,0.32
48,candidate_1,0,candidate_3,3,0.32
49,candidate_1,candidate_2,candidate_3,3,0.32
50,0,candidate_2,candidate_3,3,0.32
51,0,0,0,3,0.32
52,candidate_1,candidate_2,candidate_3,3,0.32
53,candidate_1,candidate_2,candidate_3,3,0.32
54,candidate_1,candidate_2,0,3,0.32
55,candidate_1,candidate_2,candidate_3,3,0.32
56,candidate_1,0,candidate_3,3,0.32
57,candidate_1,candidate_2,candidate_3,3,0.32
58,0,candidate_2,0,3,0.32
59,candidate_1,candidate_2,candidate_3,3,0.32
60,0,0,candidate_3,3,0.32
61,candidate_1,candidate_2,candidate_3,3,0.32
62,candidate_1,0,candidate_3,3,0.32
63,0,0,candidate_3,3,0.32
64,0,candidate_2,candidate_3,3,0.32
65,candidate_1,candidate_2,candidate_3,3,0.32
66,candidate_1,0,candidate_3,3,0.32
67,candidate_1,candidate_2,candidate_3,3,0.32
68,0,0,0,3,0.32
69,0,candidate_2,candidate_3,3,0.32
70,candidate_1,candidate_2,candidate_3,3,0.32
71,0,0,candidate_3,3,0.32
72,candidate_1,candidate_2,candidate_3,3,0.32
73,candidate_1,0,candidate_3,3,0.32
74,0,candidate_2,0,3,0.32
75,candidate_1,candidate_2,0,3,0.32
76,candidate_1,candidate_2,candidate_3,3,0.32
77,candidate_1,0,candidate_3,3,0.32
78,candidate_1,candidate_2,candidate_3,3,0.32
79,0,0,candidate_3,3,0.32
80,candidate_1,0,candidate_3,3,0.32
81,candidate_1,0,candidate_3,3,0.32
82,candidate_1,candidate_2,candidate_3,3,0.32
83,0,0,candidate_3,3,0.32
84,candidate_1,candidate_2,candidate_3,3,0.32
85,candidate_1,candidate_2,candidate_3,3,0.32
86,0,candidate_2,0,3,0.32
87,0,candidate_2,candidate_3,3,0.32
88,candidate_1,0,candidate_3,3,0.32
89,candidate_1,0,0,3,0.32
90,candidate_1,candidate_2,candidate_3,3,0.32
91,candidate_1,candidate_2,candidate_3,3,0.32
92,candidate_1,candidate_2,0,3,0.32
93,candidate_1,candidate_2,0,3,0.32
94,candidate_1,0,0,3,0.32
95,candidate_1,candidate_2,0,3,0.32
96,candidate_1,0,candidate_3,3,0.32
97,candidate_1,0,candidate_3,3,0.32
98,candidate_1,candidate_2,candidate_3,3,0.32
99,candidate_1,candidate_2,candidate_3,3,0.32
100,0,candidate_2,candidate_3,3,0.32
101,candidate_1,candidate_2,candidate_3,3,0.32
102,0,candidate_2,candidate_3,3,0.32
103,candidate_1,candidate_2,0,3,0.32
104,candidate_1,candidate_2,candidate_3,3,0.32
105,0,0,0,3,0.32
106,candidate_1,candidate_2,candidate_3,3,0.32
107,0,candidate_2,candidate_3,3,0.32
108,0,0,0,3,0.32
109,0,0,0,3,0.32
110,0,candidate_2,0,3,0.32
111,candidate_1,0,0,3,0.32
112,candidate_1,candidate_2,candidate_3,3,0.32
113,candidate_1,candidate_2,candidate_3,3,0.32
114,0,candidate_2,candidate_3,3,0.32
115,0,0,candidate_3,3,0.32
116,candidate_1,0,candidate_3,3,0.32
117,0,0,0,3,0.32
118,candidate_1,0,candidate_3,3,0.32
119,candidate_1,0,candidate_3,3,0.32
120,candidate_1,0,candidate_3,3,0.32
121,candidate_1,candidate_2,candidate_3,3,0.32
122,candidate_1,candidate_2,0,3,0.32
123,candidate_1,0,0,3,0.32
124,candidate_1,0,candidate_3,3,0.32
125,candidate_1,candidate_2,0,3,0.32
126,0,candidate_2,0,3,0.32
127,candidate_1,0,candidate_3,3,0.32
128,0,candidate_2,candidate_3,3,0.32
129,candidate_1,0,0,3,0.32
130,0,0,candidate_3,3,0.32
131,candidate_1,candidate_2,0,3,0.32
132,0,candidate_2,0,3,0.32
133,candidate_1,candidate_2,0,3,0.32
134,candidate_1,candidate_2,candidate_3,3,0.32
135,0,candidate_2,candidate_3,3,0.32
136,0,0,candidate_3,3,0.32
137,candidate_1,0,candidate_3,3,0.32
138,candidate_1,0,candidate_3,3,0.32
139,candidate_1,candidate_2,candidate_3,3,0.32
140,candidate_1,0,candidate_3,3,0.32
141,candidate_1,candidate_2,candidate_3,3,0.32
142,candidate_1,0,0,3,0.32
143,candidate_1,0,candidate_3,3,0.32
144,candidate_1,candidate_2,candidate_3,3,0.32
145,candidate_1,candidate_2,candidate_3,3,0.32
146,candidate_1,0,candidate_3,3,0.32
147,0,candidate_2,candidate_3,3,0.32
148,candidate_1,candidate_2,candidate_3,3,0.32
149,candidate_1,candidate_2,0,3,0.32
150,candidate_1,0,candidate_3,3,0.32
151,candidate_1,candidate_2,candidate_3,3,0.32
152,0,candidate_2,candidate_3,3,0.32
153,0,candidate_2,candidate_3,3,0.32
154,candidate_1,candidate_2,candidate_3,3,0.32
155,0,0,candidate_3,3,0.32
156,candidate_1,candidate_2,0,3,0.32
157,0,candidate_2,candidate_3,3,0.32
158,candidate_1,0,candidate_3,3,0.32
159,candidate_1,candidate_2,0,3,0.32
160,candidate_1,candidate_2,candidate_3,3,0.32
161,candidate_1,candidate_2,candidate_3,3,0.32
162,0,candidate_2,0,3,0.32
163,candidate_1,0,candidate_3,3,0.32
164,candidate_1,candidate_2,candidate_3,3,0.32
165,candidate_1,candidate_2,0,3,0.32
166,candidate_1,0,candidate_3,3,0.32
167,candidate_1,candidate_2,0,3,0.32
168,candidate_1,0,candidate_3,3,0.32
169,0,candidate_2,candidate_3,3,0.32
170,candidate_1,0,candidate_3,3,0.32
171,candidate_1,0,candidate_3,3,0.32
172,candidate_1,candidate_2,candidate_3,3,0.32
173,0,0,0,3,0.32
174,0,candidate_2,candidate_3,3,0.32
175,candidate_1,candidate_2,candidate_3,3,0.32
176,candidate_1,candidate_2,candidate_3,3,0.32
177,candidate_1,0,0,3,0.32
178,candidate_1,0,candidate_3,3,0.32
179,0,candidate_2,candidate_3,3,0.32
180,candidate_1,candidate_2,candidate_3,3,0.32
181,candidate_1,candidate_2,candidate_3,3,0.32
182,candidate_1,candidate_2,0,3,0.32
183,0,0,0,3,0.32
184,candidate_1,candidate_2,candidate_3,3,0.32
185,candidate_1,candidate_2,0,3,0.32
186,candidate_1,candidate_2,0,3,0.32
187,candidate_1,0,candidate_3,3,0.32
188,candidate_1,0,candidate_3,3,0.32
189,candidate_1,0,candidate_3,3,0.32
190,candidate_1,0,candidate_3,3,0.32
191,candidate_1,candidate_2,0,3,0.32
192,0,candidate_2,candidate_3,3,0.32
193,0,candidate_2,candidate_3,3,0.32
194,candidate_1,candidate_2,candidate_3,3,0.32
195,candidate_1,candidate_2,candidate_3,3,0.32
196,0,candidate_2,candidate_3,3,0.32
197,candidate_1,0,candidate_3,3,0.32
198,candidate_1,candidate_2,candidate_3,3,0.32
199,candidate_1,candidate_2,candidate_3,3,0.32
200,0,candidate_2,candidate_3,3,0.32
201,candidate_1,candidate_2,candidate_3,3,0.32
202,candidate_1,0,0,3,0.32
203,candidate_1,candidate_2,candidate_3,3,0.32
204,candidate_1,0,candidate_3,3,0.32
205,0,0,candidate_3,3,0.32
206,0,candidate_2,candidate_3,3,0.32
207,candidate_1,candidate_2,0,3,0.32
208,candidate_1,candidate_2,candidate_3,3,0.32
209,candidate_1,candidate_2,candidate_3,3,0.32
210,candidate_1,0,0,3,0.32
211,0,candidate_2,candidate_3,3,0.32
212,candidate_1,0,candidate_3,3,0.32
213,0,candidate_2,candidate_3,3,0.32
214,candidate_1,candidate_2,0,3,0.32
215,0,0,candidate_3,3,0.32
