,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,num_candidates,noise
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
3,candidate_1,candidate_2,0,candidate_4,candidate_5,5,0.126
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
7,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
8,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
9,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
10,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
12,candidate_1,0,candidate_3,candidate_4,candidate_5,5,0.126
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
14,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
15,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
16,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
17,candidate_1,0,candidate_3,0,candidate_5,5,0.126
18,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
19,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
20,candidate_1,0,candidate_3,candidate_4,candidate_5,5,0.126
21,candidate_1,candidate_2,candidate_3,candidate_4,0,5,0.126
22,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
23,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
24,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
25,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
26,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
27,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,5,0.126
0,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,5,0.126
1,candidate_1,0,candidate_3,candidate_5,candidate_4,5,0.126
