,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,0
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
3,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
7,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
8,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
9,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
10,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
12,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
14,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
15,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
16,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
17,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
18,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
19,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
20,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
21,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
22,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
23,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
24,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
25,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
26,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
27,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
28,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
29,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
30,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
31,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
32,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
33,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
3,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
7,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
8,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
9,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
10,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
12,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
14,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
15,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
16,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
17,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
18,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
19,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
20,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
21,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
22,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
23,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
24,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
25,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
26,candidate_1,candidate_2,candidate_3,candidate_4,0,candidate_5
27,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
28,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
29,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
30,candidate_1,0,candidate_3,candidate_4,candidate_6,candidate_5
31,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
32,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
33,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
34,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
35,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
36,candidate_1,candidate_2,candidate_3,candidate_4,0,candidate_5
37,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
38,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
39,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
40,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
41,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
42,candidate_1,candidate_2,candidate_3,candidate_4,0,candidate_5
43,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
44,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
45,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
46,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
47,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
48,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
49,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
50,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
51,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
52,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
53,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
54,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
55,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
56,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
57,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
58,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
59,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
60,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
61,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
62,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
63,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
64,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
0,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
1,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
2,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
3,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
4,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
5,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
6,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
7,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
8,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
9,candidate_1,candidate_2,0,candidate_5,candidate_4,candidate_6
0,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
1,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
0,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
1,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
2,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
3,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
4,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
5,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
6,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
7,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
8,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
9,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
10,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
11,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
12,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
13,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,0
14,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
15,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
16,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
17,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
18,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
19,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
20,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5
0,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
1,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
2,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
3,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
4,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
5,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
6,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
7,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
8,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
9,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
10,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
11,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
12,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
13,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,0
14,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
15,candidate_1,candidate_2,0,candidate_6,candidate_5,candidate_4
16,candidate_1,candidate_2,candidate_3,candidate_6,candidate_5,candidate_4
