,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
2,0,0,0,candidate_4,candidate_5
3,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
7,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
8,candidate_1,candidate_2,0,candidate_4,candidate_5
9,candidate_1,candidate_2,candidate_3,candidate_4,0
10,0,candidate_2,candidate_3,candidate_4,candidate_5
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
12,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
13,candidate_1,0,candidate_3,candidate_4,candidate_5
14,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
15,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
16,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
17,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
18,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
19,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
20,candidate_1,candidate_2,candidate_3,0,candidate_5
21,candidate_1,candidate_2,candidate_3,candidate_4,0
22,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
0,candidate_1,candidate_2,0,candidate_5,candidate_4
1,candidate_1,0,candidate_3,candidate_5,candidate_4
2,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
3,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
4,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
5,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
6,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
7,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
8,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
9,candidate_1,candidate_2,candidate_3,0,candidate_4
10,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
11,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
12,0,candidate_2,candidate_3,candidate_5,candidate_4
13,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
14,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
15,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4
16,candidate_1,0,candidate_3,candidate_5,candidate_4
