,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
0,candidate_1,candidate_2,candidate_3,0,candidate_5,candidate_6
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
2,0,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
3,candidate_1,candidate_2,candidate_3,0,candidate_5,0
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
5,0,candidate_2,candidate_3,0,candidate_5,candidate_6
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
3,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,0
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
7,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,0
8,0,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
9,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
10,candidate_1,candidate_2,candidate_3,candidate_4,0,candidate_5
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
12,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
14,0,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
15,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
16,candidate_1,0,candidate_3,candidate_4,candidate_6,candidate_5
17,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,0
18,candidate_1,candidate_2,0,0,candidate_6,candidate_5
19,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
20,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
21,candidate_1,candidate_2,candidate_3,0,candidate_6,candidate_5
22,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
23,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
24,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
25,0,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
26,candidate_1,0,candidate_3,candidate_4,candidate_6,candidate_5
