,candidate_1,candidate_2,candidate_3
0,candidate_1,candidate_2,candidate_3
1,0,candidate_2,candidate_3
2,candidate_1,candidate_2,candidate_3
3,candidate_1,candidate_2,candidate_3
4,candidate_1,candidate_2,candidate_3
5,candidate_1,candidate_2,candidate_3
6,candidate_1,candidate_2,candidate_3
7,candidate_1,candidate_2,candidate_3
8,candidate_1,candidate_2,candidate_3
9,candidate_1,candidate_2,candidate_3
10,candidate_1,candidate_2,candidate_3
11,candidate_1,candidate_2,candidate_3
12,candidate_1,candidate_2,candidate_3
13,0,candidate_2,candidate_3
14,candidate_1,candidate_2,candidate_3
15,0,candidate_2,candidate_3
16,candidate_1,candidate_2,candidate_3
17,candidate_1,candidate_2,candidate_3
18,candidate_1,candidate_2,candidate_3
19,candidate_1,candidate_2,candidate_3
20,0,candidate_2,candidate_3
21,0,candidate_2,candidate_3
22,candidate_1,candidate_2,candidate_3
23,candidate_1,candidate_2,candidate_3
24,candidate_1,candidate_2,candidate_3
25,candidate_1,candidate_2,candidate_3
26,candidate_1,0,candidate_3
27,candidate_1,candidate_2,0
28,candidate_1,candidate_2,candidate_3
29,candidate_1,candidate_2,candidate_3
30,0,0,candidate_3
31,candidate_1,candidate_2,candidate_3
32,candidate_1,candidate_2,0
33,candidate_1,candidate_2,candidate_3
34,candidate_1,candidate_2,0
35,candidate_1,candidate_2,candidate_3
36,candidate_1,candidate_2,candidate_3
37,candidate_1,candidate_2,candidate_3
38,candidate_1,0,candidate_3
39,candidate_1,candidate_2,candidate_3
40,0,candidate_2,candidate_3
41,candidate_1,candidate_2,candidate_3
42,candidate_1,candidate_2,candidate_3
43,candidate_1,candidate_2,candidate_3
44,candidate_1,candidate_2,0
45,candidate_1,candidate_2,0
46,0,candidate_2,candidate_3
47,candidate_1,0,candidate_3
48,candidate_1,candidate_2,0
49,candidate_1,candidate_2,candidate_3
50,candidate_1,candidate_2,candidate_3
51,candidate_1,candidate_2,candidate_3
52,candidate_1,candidate_2,candidate_3
53,candidate_1,candidate_2,candidate_3
54,candidate_1,candidate_2,candidate_3
55,candidate_1,candidate_2,candidate_3
56,candidate_1,candidate_2,0
57,candidate_1,candidate_2,candidate_3
58,candidate_1,candidate_2,candidate_3
59,candidate_1,candidate_2,candidate_3
60,candidate_1,candidate_2,candidate_3
61,candidate_1,candidate_2,candidate_3
62,candidate_1,candidate_2,candidate_3
63,candidate_1,candidate_2,candidate_3
64,candidate_1,candidate_2,candidate_3
65,candidate_1,candidate_2,candidate_3
66,0,candidate_2,candidate_3
67,candidate_1,candidate_2,candidate_3
68,candidate_1,candidate_2,candidate_3
69,candidate_1,candidate_2,candidate_3
70,0,0,candidate_3
71,candidate_1,candidate_2,candidate_3
72,candidate_1,candidate_2,candidate_3
73,candidate_1,candidate_2,candidate_3
74,candidate_1,candidate_2,candidate_3
75,candidate_1,candidate_2,candidate_3
76,candidate_1,candidate_2,candidate_3
77,0,candidate_2,candidate_3
78,candidate_1,candidate_2,candidate_3
79,0,candidate_2,0
80,candidate_1,candidate_2,candidate_3
81,candidate_1,candidate_2,candidate_3
82,candidate_1,0,candidate_3
83,candidate_1,candidate_2,0
84,0,0,candidate_3
85,candidate_1,candidate_2,candidate_3
86,candidate_1,candidate_2,0
87,candidate_1,candidate_2,candidate_3
88,candidate_1,0,candidate_3
89,candidate_1,candidate_2,candidate_3
90,candidate_1,candidate_2,0
91,candidate_1,candidate_2,0
92,candidate_1,candidate_2,candidate_3
93,0,candidate_2,0
94,candidate_1,candidate_2,candidate_3
95,candidate_1,candidate_2,candidate_3
96,candidate_1,candidate_2,candidate_3
97,candidate_1,candidate_2,candidate_3
98,candidate_1,0,candidate_3
99,candidate_1,candidate_2,candidate_3
100,candidate_1,candidate_2,candidate_3
101,candidate_1,candidate_2,candidate_3
102,candidate_1,candidate_2,candidate_3
103,candidate_1,candidate_2,candidate_3
104,candidate_1,candidate_2,candidate_3
105,candidate_1,candidate_2,candidate_3
106,candidate_1,candidate_2,candidate_3
107,candidate_1,0,candidate_3
108,candidate_1,candidate_2,candidate_3
109,candidate_1,candidate_2,candidate_3
110,candidate_1,candidate_2,candidate_3
111,candidate_1,0,0
112,candidate_1,candidate_2,0
113,0,candidate_2,candidate_3
114,0,candidate_2,candidate_3
115,candidate_1,candidate_2,candidate_3
116,candidate_1,candidate_2,candidate_3
117,candidate_1,candidate_2,candidate_3
118,candidate_1,candidate_2,candidate_3
119,candidate_1,candidate_2,candidate_3
120,candidate_1,candidate_2,candidate_3
121,0,candidate_2,candidate_3
122,candidate_1,candidate_2,0
123,0,candidate_2,candidate_3
124,candidate_1,candidate_2,candidate_3
125,candidate_1,candidate_2,0
126,candidate_1,candidate_2,candidate_3
127,candidate_1,candidate_2,candidate_3
128,0,candidate_2,candidate_3
129,0,candidate_2,0
130,candidate_1,0,0
131,candidate_1,0,candidate_3
132,candidate_1,candidate_2,candidate_3
133,candidate_1,candidate_2,candidate_3
134,candidate_1,candidate_2,candidate_3
135,candidate_1,candidate_2,0
136,candidate_1,candidate_2,candidate_3
137,candidate_1,candidate_2,0
138,candidate_1,candidate_2,candidate_3
139,0,candidate_2,candidate_3
140,candidate_1,candidate_2,0
141,candidate_1,0,candidate_3
142,candidate_1,candidate_2,candidate_3
143,candidate_1,candidate_2,candidate_3
144,candidate_1,candidate_2,candidate_3
145,candidate_1,candidate_2,candidate_3
146,0,candidate_2,candidate_3
147,candidate_1,candidate_2,candidate_3
148,candidate_1,candidate_2,candidate_3
149,candidate_1,candidate_2,candidate_3
150,candidate_1,candidate_2,candidate_3
151,candidate_1,candidate_2,candidate_3
152,candidate_1,candidate_2,candidate_3
153,candidate_1,candidate_2,candidate_3
154,candidate_1,candidate_2,candidate_3
155,candidate_1,candidate_2,candidate_3
156,candidate_1,candidate_2,candidate_3
157,candidate_1,candidate_2,0
158,candidate_1,candidate_2,candidate_3
159,candidate_1,candidate_2,candidate_3
160,candidate_1,0,candidate_3
161,candidate_1,candidate_2,candidate_3
162,candidate_1,candidate_2,candidate_3
163,candidate_1,0,candidate_3
164,candidate_1,candidate_2,candidate_3
165,candidate_1,candidate_2,candidate_3
166,candidate_1,candidate_2,candidate_3
167,candidate_1,candidate_2,candidate_3
168,candidate_1,candidate_2,candidate_3
169,candidate_1,candidate_2,candidate_3
170,candidate_1,0,candidate_3
171,candidate_1,candidate_2,candidate_3
172,candidate_1,candidate_2,candidate_3
173,candidate_1,candidate_2,candidate_3
174,candidate_1,candidate_2,candidate_3
175,candidate_1,candidate_2,candidate_3
176,candidate_1,candidate_2,candidate_3
177,candidate_1,candidate_2,candidate_3
178,candidate_1,candidate_2,candidate_3
179,candidate_1,candidate_2,0
180,candidate_1,candidate_2,candidate_3
181,candidate_1,candidate_2,candidate_3
182,candidate_1,candidate_2,candidate_3
