Round: 1,Round: 2,Election,Round: 3,Round: 4,Round: 5,Round: 6,Round: 7,pyrankvote_winner,filename
"[{'candidate_1': '14247'}, {'candidate_2': ' 9879'}, {'candidate_3': ' 9790'}]","[{'candidate_1': '20911'}, {'candidate_2': '13005'}, {'candidate_3': '0'}]",election_01-22-2021_21-03-41_3cands_0.16666666666666666noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-03-41_3cands_0.16666666666666666noise.csv
"[{'candidate_2': ' 9205'}, {'candidate_3': ' 8220'}, {'candidate_1': ' 4650'}]","[{'candidate_2': '11991'}, {'candidate_3': '10084'}, {'candidate_1': '0'}]",election_01-22-2021_21-03-41_3cands_0.23666666666666666noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-03-41_3cands_0.23666666666666666noise.csv
"[{'candidate_3': ' 3561'}, {'candidate_4': ' 3378'}, {'candidate_1': ' 3160'}, {'candidate_2': ' 2637'}]","[{'candidate_3': ' 4492'}, {'candidate_4': ' 4254'}, {'candidate_1': ' 3990'}, {'candidate_2': '0'}]",election_01-22-2021_21-03-41_4cands_0.2275noise.csv,"[{'candidate_3': ' 6425'}, {'candidate_4': ' 6311'}, {'candidate_1': '0'}, {'candidate_2': '0'}]",,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-03-41_4cands_0.2275noise.csv
"[{'candidate_3': ' 4950'}, {'candidate_1': ' 3946'}, {'candidate_2': ' 3065'}]","[{'candidate_3': ' 7219'}, {'candidate_1': ' 4742'}, {'candidate_2': '0'}]",election_01-22-2021_21-03-42_3cands_0.18333333333333335noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-03-42_3cands_0.18333333333333335noise.csv
"[{'candidate_1': '10029'}, {'candidate_2': ' 7000'}, {'candidate_3': ' 5119'}]","[{'candidate_1': '12034'}, {'candidate_2': '10114'}, {'candidate_3': '0'}]",election_01-22-2021_21-03-42_3cands_0.20666666666666667noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-03-42_3cands_0.20666666666666667noise.csv
"[{'candidate_2': '12757'}, {'candidate_1': '10959'}, {'candidate_3': ' 4713'}]","[{'candidate_2': '15129'}, {'candidate_1': '13300'}, {'candidate_3': '0'}]",election_01-22-2021_21-03-42_3cands_0.21noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-03-42_3cands_0.21noise.csv
"[{'candidate_1': '16314'}, {'candidate_2': '12466'}, {'candidate_3': '10898'}]","[{'candidate_1': '22715'}, {'candidate_2': '16963'}, {'candidate_3': '0'}]",election_01-22-2021_21-03-42_3cands_0.2866666666666667noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-03-42_3cands_0.2866666666666667noise.csv
"[{'candidate_3': ' 3311'}, {'candidate_2': ' 2543'}, {'candidate_4': ' 2527'}, {'candidate_1': ' 1791'}]","[{'candidate_3': ' 4245'}, {'candidate_4': ' 3005'}, {'candidate_2': ' 2922'}, {'candidate_1': '0'}]",election_01-22-2021_21-03-42_4cands_0.1375noise.csv,"[{'candidate_3': ' 5774'}, {'candidate_4': ' 4398'}, {'candidate_2': '0'}, {'candidate_1': '0'}]",,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-03-42_4cands_0.1375noise.csv
"[{'candidate_4': ' 6884'}, {'candidate_1': ' 6536'}, {'candidate_3': ' 6389'}, {'candidate_2': ' 6005'}, {'candidate_5': ' 5337'}]","[{'candidate_1': ' 8023'}, {'candidate_4': ' 7916'}, {'candidate_3': ' 7630'}, {'candidate_2': ' 7582'}, {'candidate_5': '0'}]",election_01-22-2021_21-03-42_5cands_0.13799999999999998noise.csv,"[{'candidate_1': '10614'}, {'candidate_3': '10421'}, {'candidate_4': '10116'}, {'candidate_2': '0'}, {'candidate_5': '0'}]","[{'candidate_3': '16033'}, {'candidate_1': '15118'}, {'candidate_4': '0'}, {'candidate_2': '0'}, {'candidate_5': '0'}]",,,,[<Candidate('candidate_3')>],election_01-22-2021_21-03-42_5cands_0.13799999999999998noise.csv
"[{'candidate_3': ' 4604'}, {'candidate_2': ' 4267'}, {'candidate_1': ' 3710'}, {'candidate_4': ' 3665'}, {'candidate_5': ' 3460'}]","[{'candidate_3': ' 5647'}, {'candidate_2': ' 5019'}, {'candidate_1': ' 4610'}, {'candidate_4': ' 4430'}, {'candidate_5': '0'}]",election_01-22-2021_21-03-42_5cands_0.174noise.csv,"[{'candidate_3': ' 7162'}, {'candidate_2': ' 6586'}, {'candidate_1': ' 5958'}, {'candidate_4': '0'}, {'candidate_5': '0'}]","[{'candidate_3': '10011'}, {'candidate_2': ' 9695'}, {'candidate_1': '0'}, {'candidate_4': '0'}, {'candidate_5': '0'}]",,,,[<Candidate('candidate_3')>],election_01-22-2021_21-03-42_5cands_0.174noise.csv
