round1winnervotes,round2winnervotes,round3winnervotes,round4winnervotes,round5winnervotes,round6winnervotes,round7winnervotes,total_votes_allrounds,num_candidates,noise,spoiled
11346,13632,0,0,0,0.0,0.0,24978,3.0,0.02,1
11220,0,0,0,0,0.0,0.0,11220,3.0,0.03,1
6243,10050,0,0,0,0.0,0.0,16293,3.0,0.0466666666666666,0
5246,5974,6964,8368,10437,13888.0,20829.0,71706,8.0,0.005,1
17535,24995,0,0,0,0.0,0.0,42530,3.0,0.0333333333333333,1
18672,26204,0,0,0,0.0,0.0,44876,3.0,0.0366666666666666,1
17081,0,0,0,0,0.0,0.0,17081,3.0,0.0433333333333333,1
13821,17112,0,0,0,0.0,0.0,30933,3.0,0.0,1
6082,7552,10184,0,0,0.0,0.0,23818,4.0,0.01,1
7746,9549,12331,0,0,0.0,0.0,29626,4.0,0.0325,1
978,0,0,0,0,0.0,0.0,978,3.0,0.03,1
9970,15123,20410,0,0,0.0,0.0,45503,4.0,0.0075,1
2712,3138,3759,4710,6292,9448.0,0.0,30059,7.0,0.0185714285714285,1
10748,0,0,0,0,0.0,0.0,10748,3.0,0.0066666666666666,1
12481,14533,0,0,0,0.0,0.0,27014,3.0,0.0266666666666666,1
9566,15142,0,0,0,0.0,0.0,24708,3.0,0.03,1
6912,0,0,0,0,0.0,0.0,6912,3.0,0.0233333333333333,1
11495,14603,0,0,0,0.0,0.0,26098,3.0,0.0366666666666666,1
13444,18223,0,0,0,0.0,0.0,31667,3.0,0.0466666666666666,1
9904,11259,16192,0,0,0.0,0.0,37355,4.0,0.0025,1
10871,17128,25416,0,0,0.0,0.0,53415,4.0,0.0125,1
456,598,889,0,0,0.0,0.0,1943,4.0,0.0225,1
1471,1772,2485,3807,0,0.0,0.0,9535,5.0,0.026,1
2785,3690,0,0,0,0.0,0.0,6475,3.0,0.0133333333333333,1
14638,23745,0,0,0,0.0,0.0,38383,3.0,0.0233333333333333,1
404,0,0,0,0,0.0,0.0,404,3.0,0.0266666666666666,1
749,1051,0,0,0,0.0,0.0,1800,3.0,0.04,1
9870,10794,13439,19175,0,0.0,0.0,53278,5.0,0.012,1
18355,28903,0,0,0,0.0,0.0,47258,3.0,0.0066666666666666,1
3915,4617,0,0,0,0.0,0.0,8532,3.0,0.0333333333333333,1
