ballot_id,rank,choice
671489,1,Joseph M. Maestas
671489,2,Kate I. Noble
671489,3,Alan Webber
671489,4,Peter N. Ives
671489,5,Ronald S. Trujillo
671489,6,$UNDERVOTE
134150,1,Alan Webber
134150,2,Ronald S. Trujillo
134150,3,$UNDERVOTE
134150,4,$UNDERVOTE
134150,5,$UNDERVOTE
134150,6,$UNDERVOTE
465441,1,Joseph M. Maestas
465441,2,Peter N. Ives
465441,3,Kate I. Noble
465441,4,Alan Webber
465441,5,Ronald S. Trujillo
465441,6,$UNDERVOTE
851463,1,Kate I. Noble
851463,2,Joseph M. Maestas
851463,3,Peter N. Ives
851463,4,$UNDERVOTE
851463,5,$UNDERVOTE
851463,6,$UNDERVOTE
591871,1,Alan Webber
591871,2,Kate I. Noble
591871,3,Peter N. Ives
591871,4,$UNDERVOTE
591871,5,$UNDERVOTE
591871,6,$UNDERVOTE
686570,1,Alan Webber
686570,2,Peter N. Ives
686570,3,$UNDERVOTE
686570,4,$UNDERVOTE
686570,5,$UNDERVOTE
686570,6,$UNDERVOTE
552424,1,Alan Webber
552424,2,Joseph M. Maestas
552424,3,$UNDERVOTE
552424,4,$UNDERVOTE
552424,5,$UNDERVOTE
552424,6,$UNDERVOTE
832929,1,Alan Webber
832929,2,Joseph M. Maestas
832929,3,Peter N. Ives
832929,4,$UNDERVOTE
832929,5,$UNDERVOTE
832929,6,$UNDERVOTE
70392,1,Kate I. Noble
70392,2,Joseph M. Maestas
70392,3,Ronald S. Trujillo
70392,4,Peter N. Ives
70392,5,Alan Webber
70392,6,$UNDERVOTE
339883,1,Alan Webber
339883,2,Joseph M. Maestas
339883,3,Ronald S. Trujillo
339883,4,Peter N. Ives
339883,5,$UNDERVOTE
339883,6,$UNDERVOTE
865371,1,Kate I. Noble
865371,2,Alan Webber
865371,3,Joseph M. Maestas
865371,4,Peter N. Ives
865371,5,Ronald S. Trujillo
865371,6,$UNDERVOTE
975563,1,Kate I. Noble
975563,2,Joseph M. Maestas
975563,3,$UNDERVOTE
975563,4,$UNDERVOTE
975563,5,$UNDERVOTE
975563,6,$UNDERVOTE
182499,1,Peter N. Ives
182499,2,Ronald S. Trujillo
182499,3,Alan Webber
182499,4,Kate I. Noble
182499,5,Joseph M. Maestas
182499,6,$UNDERVOTE
911431,1,Kate I. Noble
911431,2,Alan Webber
911431,3,Peter N. Ives
911431,4,Joseph M. Maestas
911431,5,Ronald S. Trujillo
911431,6,$UNDERVOTE
157079,1,Peter N. Ives
157079,2,Alan Webber
157079,3,Kate I. Noble
157079,4,Joseph M. Maestas
157079,5,Ronald S. Trujillo
157079,6,$UNDERVOTE
717163,1,Ronald S. Trujillo
717163,2,Peter N. Ives
717163,3,Alan Webber
717163,4,Kate I. Noble
717163,5,Joseph M. Maestas
717163,6,$UNDERVOTE
560686,1,Alan Webber
560686,2,Kate I. Noble
560686,3,Peter N. Ives
560686,4,$UNDERVOTE
560686,5,$UNDERVOTE
560686,6,$UNDERVOTE
16632,1,Alan Webber
16632,2,Joseph M. Maestas
16632,3,Kate I. Noble
16632,4,Peter N. Ives
16632,5,Ronald S. Trujillo
16632,6,$UNDERVOTE
404450,1,Alan Webber
404450,2,$UNDERVOTE
404450,3,$UNDERVOTE
404450,4,$UNDERVOTE
404450,5,$UNDERVOTE
404450,6,$UNDERVOTE
706516,1,Ronald S. Trujillo
706516,2,Peter N. Ives
706516,3,Joseph M. Maestas
706516,4,Alan Webber
706516,5,Kate I. Noble
706516,6,$UNDERVOTE
359751,1,Kate I. Noble
359751,2,Alan Webber
359751,3,Ronald S. Trujillo
359751,4,Joseph M. Maestas
359751,5,Peter N. Ives
359751,6,$UNDERVOTE
304671,1,Peter N. Ives
304671,2,Kate I. Noble
304671,3,Alan Webber
304671,4,Ronald S. Trujillo
304671,5,Joseph M. Maestas
304671,6,$UNDERVOTE
691226,1,Kate I. Noble
691226,2,Peter N. Ives
691226,3,Alan Webber
691226,4,Ronald S. Trujillo
691226,5,Joseph M. Maestas
691226,6,$UNDERVOTE
767218,1,Alan Webber
767218,2,Joseph M. Maestas
767218,3,Peter N. Ives
767218,4,Ronald S. Trujillo
767218,5,Kate I. Noble
767218,6,$UNDERVOTE
232241,1,Alan Webber
232241,2,Kate I. Noble
232241,3,Peter N. Ives
232241,4,$UNDERVOTE
232241,5,$UNDERVOTE
232241,6,$UNDERVOTE
400829,1,Alan Webber
400829,2,Joseph M. Maestas
400829,3,Kate I. Noble
400829,4,$UNDERVOTE
400829,5,$UNDERVOTE
400829,6,$UNDERVOTE
360078,1,Kate I. Noble
360078,2,Peter N. Ives
360078,3,Alan Webber
360078,4,Ronald S. Trujillo
360078,5,Joseph M. Maestas
360078,6,$UNDERVOTE
444481,1,Kate I. Noble
444481,2,Alan Webber
444481,3,Peter N. Ives
444481,4,Joseph M. Maestas
444481,5,Ronald S. Trujillo
444481,6,$UNDERVOTE
92703,1,Kate I. Noble
92703,2,Ronald S. Trujillo
92703,3,Alan Webber
92703,4,Peter N. Ives
92703,5,Joseph M. Maestas
92703,6,$UNDERVOTE
289393,1,Ronald S. Trujillo
289393,2,$UNDERVOTE
289393,3,$UNDERVOTE
289393,4,$UNDERVOTE
289393,5,$UNDERVOTE
289393,6,$UNDERVOTE
946259,1,Alan Webber
946259,2,Peter N. Ives
946259,3,Ronald S. Trujillo
946259,4,Joseph M. Maestas
946259,5,Kate I. Noble
946259,6,$UNDERVOTE
286559,1,Kate I. Noble
286559,2,Joseph M. Maestas
286559,3,$UNDERVOTE
286559,4,$UNDERVOTE
286559,5,$UNDERVOTE
286559,6,$UNDERVOTE
35787,1,Peter N. Ives
35787,2,Alan Webber
35787,3,Kate I. Noble
35787,4,$UNDERVOTE
35787,5,$UNDERVOTE
35787,6,$UNDERVOTE
344385,1,Alan Webber
344385,2,Joseph M. Maestas
344385,3,Kate I. Noble
344385,4,Peter N. Ives
344385,5,$UNDERVOTE
344385,6,$UNDERVOTE
874895,1,Kate I. Noble
874895,2,Joseph M. Maestas
874895,3,Alan Webber
874895,4,Peter N. Ives
874895,5,Ronald S. Trujillo
874895,6,$UNDERVOTE
936785,1,Alan Webber
936785,2,Kate I. Noble
936785,3,Peter N. Ives
936785,4,Joseph M. Maestas
936785,5,Ronald S. Trujillo
936785,6,$UNDERVOTE
667274,1,Alan Webber
667274,2,$UNDERVOTE
667274,3,$UNDERVOTE
667274,4,$UNDERVOTE
667274,5,$UNDERVOTE
667274,6,$UNDERVOTE
927447,1,Peter N. Ives
927447,2,Kate I. Noble
927447,3,Ronald S. Trujillo
927447,4,Alan Webber
927447,5,Joseph M. Maestas
927447,6,$UNDERVOTE
723090,1,Kate I. Noble
723090,2,Joseph M. Maestas
723090,3,Alan Webber
723090,4,Peter N. Ives
723090,5,Ronald S. Trujillo
723090,6,$UNDERVOTE
68380,1,Alan Webber
68380,2,Ronald S. Trujillo
68380,3,$UNDERVOTE
68380,4,$UNDERVOTE
68380,5,$UNDERVOTE
68380,6,$UNDERVOTE
213775,1,Alan Webber
213775,2,Peter N. Ives
213775,3,Kate I. Noble
213775,4,Ronald S. Trujillo
213775,5,Joseph M. Maestas
213775,6,$UNDERVOTE
