,Round: 1,Round: 2,Election,Round: 3,Round: 4,Round: 5,pyrankvote_winner,filename,round1winnervotes,round2winnervotes,round3winnervotes,round4winnervotes,round5winnervotes,total_votes_allrounds
0,"{'candidate_1': '12744', 'candidate_2': '12029', 'candidate_3': ' 4796'}","{'candidate_2': '15766', 'candidate_1': '13803', 'candidate_3': '0'}",election_10-12-2020_10-25-22_3cands_0.02666666666666667noise.csv,nan,nan,nan,candidate_2,election_10-12-2020_10-25-22_3cands_0.02666666666666667noise.csv,12029,15766,0,0,0,27795
1,"{'candidate_1': ' 6274', 'candidate_3': ' 5286', 'candidate_2': ' 4381'}","{'candidate_1': '10025', 'candidate_3': ' 5916', 'candidate_2': '0'}",election_10-12-2020_10-25-22_3cands_0.03333333333333333noise.csv,nan,nan,nan,candidate_1,election_10-12-2020_10-25-22_3cands_0.03333333333333333noise.csv, 6274,10025,0,0,0,16299
2,"{'candidate_3': '11255', 'candidate_2': ' 9817', 'candidate_1': ' 6946'}","{'candidate_2': '16066', 'candidate_3': '11952', 'candidate_1': '0'}",election_10-12-2020_10-25-22_3cands_0.04666666666666667noise.csv,nan,nan,nan,candidate_2,election_10-12-2020_10-25-22_3cands_0.04666666666666667noise.csv, 9817,16066,0,0,0,25883
3,"{'candidate_3': ' 9534', 'candidate_4': ' 6689', 'candidate_2': ' 6149', 'candidate_1': ' 5883'}","{'candidate_3': '11729', 'candidate_4': ' 9906', 'candidate_2': ' 6620', 'candidate_1': '0'}",election_10-12-2020_10-25-22_4cands_0.0175noise.csv,"{'candidate_3': '15203', 'candidate_4': '13052', 'candidate_2': '0', 'candidate_1': '0'}",nan,nan,candidate_3,election_10-12-2020_10-25-22_4cands_0.0175noise.csv, 9534,11729,15203,0,0,36466
4,"{'candidate_2': '276', 'candidate_4': '235', 'candidate_1': '196', 'candidate_3': '138'}","{'candidate_4': '310', 'candidate_2': '288', 'candidate_1': '247', 'candidate_3': '0'}",election_10-12-2020_10-25-22_4cands_0.035noise.csv,"{'candidate_2': '461', 'candidate_4': '384', 'candidate_1': '0', 'candidate_3': '0'}",nan,nan,candidate_2,election_10-12-2020_10-25-22_4cands_0.035noise.csv,276,288,461,0,0,1025
5,"{'candidate_4': '492', 'candidate_3': '457', 'candidate_1': '438', 'candidate_2': '432', 'candidate_5': '396'}","{'candidate_4': '599', 'candidate_3': '546', 'candidate_2': '535', 'candidate_1': '535', 'candidate_5': '0'}",election_10-12-2020_10-25-22_5cands_0.018noise.csv,"{'candidate_4': '768', 'candidate_2': '735', 'candidate_3': '712', 'candidate_1': '0', 'candidate_5': '0'}","{'candidate_4': ' 1142', 'candidate_2': ' 1073', 'candidate_3': '0', 'candidate_1': '0', 'candidate_5': '0'}",nan,candidate_4,election_10-12-2020_10-25-22_5cands_0.018noise.csv,492,599,768, 1142,0,3001
6,"{'candidate_3': '16261', 'candidate_2': '12196', 'candidate_1': ' 9849'}","{'candidate_3': '22206', 'candidate_2': '16100', 'candidate_1': '0'}",election_10-12-2020_10-25-23_3cands_0.01noise.csv,nan,nan,nan,candidate_3,election_10-12-2020_10-25-23_3cands_0.01noise.csv,16261,22206,0,0,0,38467
7,"{'candidate_2': '12064', 'candidate_1': ' 8246', 'candidate_3': ' 5587'}","{'candidate_1': '13196', 'candidate_2': '12701', 'candidate_3': '0'}",election_10-12-2020_10-25-23_3cands_0.023333333333333334noise.csv,nan,nan,nan,candidate_1,election_10-12-2020_10-25-23_3cands_0.023333333333333334noise.csv, 8246,13196,0,0,0,21442
8,"{'candidate_1': ' 6262', 'candidate_2': ' 5581', 'candidate_3': ' 5297'}","{'candidate_2': ' 9012', 'candidate_1': ' 8128', 'candidate_3': '0'}",election_10-12-2020_10-25-23_3cands_0.04noise.csv,nan,nan,nan,candidate_2,election_10-12-2020_10-25-23_3cands_0.04noise.csv, 5581, 9012,0,0,0,14593
9,"{'candidate_3': ' 2835', 'candidate_4': ' 2802', 'candidate_1': ' 2553', 'candidate_2': ' 1962'}","{'candidate_4': ' 3521', 'candidate_3': ' 3472', 'candidate_1': ' 3159', 'candidate_2': '0'}",election_10-12-2020_10-25-23_4cands_0.015noise.csv,"{'candidate_3': ' 5578', 'candidate_4': ' 4574', 'candidate_1': '0', 'candidate_2': '0'}",nan,nan,candidate_3,election_10-12-2020_10-25-23_4cands_0.015noise.csv, 2835, 3472, 5578,0,0,11885
