ballot_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,filename
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
1,candidate_1,0,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
3,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
5,candidate_1,candidate_2,candidate_3,0,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
7,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
8,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
9,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
10,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
12,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
14,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
15,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,,election_05-04-2020_08-39-40_5cands_12noise.csv
