,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
3,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
4,candidate_1,candidate_2,0,candidate_4,candidate_5
5,candidate_1,candidate_2,candidate_3,0,candidate_5
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
7,candidate_1,candidate_2,0,candidate_4,candidate_5
8,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
9,candidate_1,candidate_2,candidate_3,0,candidate_5
10,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
12,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
14,0,candidate_2,candidate_3,candidate_4,candidate_5
15,candidate_1,0,candidate_3,candidate_4,candidate_5
16,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
17,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
18,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
19,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
20,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
21,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
22,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
23,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
24,candidate_1,0,candidate_3,candidate_4,candidate_5
25,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
26,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
27,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
28,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
29,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
30,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
31,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
32,candidate_1,candidate_2,candidate_3,candidate_4,0
33,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
34,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
35,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
36,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
37,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
38,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
39,candidate_1,candidate_2,0,candidate_4,candidate_5
