,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
0,candidate_1,candidate_2,candidate_3,0,candidate_5,candidate_6
1,candidate_1,candidate_2,0,candidate_4,candidate_5,candidate_6
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
3,candidate_1,0,0,candidate_4,candidate_5,candidate_6
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
7,candidate_1,0,candidate_3,candidate_4,candidate_5,candidate_6
8,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
9,candidate_1,candidate_2,0,candidate_4,candidate_5,candidate_6
10,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
12,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
14,candidate_1,0,candidate_3,candidate_4,candidate_5,candidate_6
15,candidate_1,0,0,candidate_4,candidate_5,candidate_6
16,candidate_1,candidate_2,0,candidate_4,candidate_5,candidate_6
17,candidate_1,candidate_2,candidate_3,candidate_4,0,candidate_6
18,candidate_1,candidate_2,candidate_3,0,candidate_5,candidate_6
19,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
20,candidate_1,candidate_2,candidate_3,candidate_4,0,candidate_6
21,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6
0,candidate_1,candidate_2,0,candidate_4,candidate_6,candidate_5
1,candidate_1,0,candidate_3,candidate_4,candidate_6,candidate_5
2,candidate_1,candidate_2,candidate_3,0,candidate_6,candidate_5
3,candidate_1,candidate_2,candidate_3,candidate_4,0,candidate_5
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
7,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
8,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
9,candidate_1,0,candidate_3,candidate_4,candidate_6,candidate_5
10,candidate_1,candidate_2,candidate_3,0,candidate_6,0
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
12,candidate_1,candidate_2,candidate_3,candidate_4,0,candidate_5
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
14,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5
0,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
1,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
2,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
3,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
4,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
5,candidate_1,candidate_2,0,0,candidate_4,candidate_6
6,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
7,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
8,0,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
9,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
10,candidate_1,candidate_2,0,candidate_5,candidate_4,candidate_6
11,candidate_1,0,candidate_3,candidate_5,candidate_4,0
12,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
13,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
14,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
15,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
16,0,candidate_2,candidate_3,0,candidate_4,candidate_6
17,candidate_1,candidate_2,0,candidate_5,candidate_4,candidate_6
18,0,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
19,0,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
20,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
21,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
22,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
23,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
24,candidate_1,candidate_2,candidate_3,0,candidate_4,candidate_6
25,candidate_1,candidate_2,candidate_3,0,candidate_4,0
26,candidate_1,candidate_2,0,candidate_5,0,candidate_6
27,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,0
28,candidate_1,0,candidate_3,candidate_5,candidate_4,candidate_6
29,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
30,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
31,candidate_1,candidate_2,candidate_3,candidate_5,0,candidate_6
32,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,0
33,candidate_1,candidate_2,candidate_3,candidate_5,0,0
34,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6
0,candidate_1,candidate_2,candidate_3,0,candidate_6,candidate_4
1,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
2,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,0
3,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
4,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
5,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
6,0,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
7,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
8,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,0
9,0,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
10,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
11,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
12,candidate_1,candidate_2,candidate_3,0,0,candidate_4
13,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
14,candidate_1,0,candidate_3,candidate_5,0,candidate_4
15,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
16,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
17,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
18,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
19,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
20,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
21,candidate_1,candidate_2,0,candidate_5,candidate_6,candidate_4
22,0,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
23,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
24,0,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
25,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
26,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
27,candidate_1,candidate_2,candidate_3,candidate_5,0,candidate_4
28,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
29,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
30,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
31,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,0
32,candidate_1,candidate_2,candidate_3,0,candidate_6,candidate_4
33,candidate_1,candidate_2,candidate_3,0,candidate_6,candidate_4
34,candidate_1,0,candidate_3,candidate_5,candidate_6,candidate_4
35,candidate_1,0,candidate_3,candidate_5,candidate_6,candidate_4
36,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4
