,winner,rounds,election,Can1Total,Can2Total,Can3Total,Can4Total,total_1st_place_winner_votes,total_last_place_winner_votes
0,candidate_1,4,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_1     9129  Hopeful
candidate_5     9010  Hopeful
candidate_2     8455  Hopeful
candidate_3     7911  Hopeful
candidate_4     6858  Rejected

ROUND 2
Candidate      Votes  Status
-----------  -------  --------
candidate_1    10902  Hopeful
candidate_5    10640  Hopeful
candidate_3    10078  Hopeful
candidate_2     9743  Rejected
candidate_4        0  Rejected

ROUND 3
Candidate      Votes  Status
-----------  -------  --------
candidate_1    14069  Hopeful
candidate_3    13671  Hopeful
candidate_5    13623  Rejected
candidate_2        0  Rejected
candidate_4        0  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_1    20693  Elected
candidate_3    20670  Rejected
candidate_5        0  Rejected
candidate_2        0  Rejected
candidate_4        0  Rejected
",54793.0,18198.0,52330.0,6858.0,34100.0,0.0
1,candidate_1,3,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_1    13918  Hopeful
candidate_3    12693  Hopeful
candidate_2    10097  Hopeful
candidate_4     7022  Rejected

ROUND 2
Candidate      Votes  Status
-----------  -------  --------
candidate_1    16901  Hopeful
candidate_3    15679  Hopeful
candidate_2    11150  Rejected
candidate_4        0  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_1    22940  Elected
candidate_3    20790  Rejected
candidate_2        0  Rejected
candidate_4        0  Rejected
",53759.0,21247.0,49162.0,7022.0,30819.0,0.0
2,candidate_4,4,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_4     7502  Hopeful
candidate_1     7177  Hopeful
candidate_2     6848  Hopeful
candidate_3     6384  Hopeful
candidate_5     5574  Rejected

ROUND 2
Candidate      Votes  Status
-----------  -------  --------
candidate_4     9065  Hopeful
candidate_1     8735  Hopeful
candidate_2     8359  Hopeful
candidate_3     7326  Rejected
candidate_5        0  Rejected

ROUND 3
Candidate      Votes  Status
-----------  -------  --------
candidate_4    11522  Hopeful
candidate_1    11056  Hopeful
candidate_2    10907  Rejected
candidate_3        0  Rejected
candidate_5        0  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_4    17358  Elected
candidate_1    16127  Rejected
candidate_2        0  Rejected
candidate_3        0  Rejected
candidate_5        0  Rejected
",43095.0,26114.0,13710.0,45447.0,0.0,28089.0
3,candidate_1,3,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_1     3400  Hopeful
candidate_4     2343  Hopeful
candidate_2     2269  Hopeful
candidate_3     2053  Rejected

ROUND 2
Candidate      Votes  Status
-----------  -------  --------
candidate_1     4475  Hopeful
candidate_4     2897  Hopeful
candidate_2     2693  Rejected
candidate_3        0  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_1     5761  Elected
candidate_4     4304  Rejected
candidate_2        0  Rejected
candidate_3        0  Rejected
",13636.0,4962.0,2053.0,9544.0,7875.0,0.0
4,candidate_2,3,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_2    11236  Hopeful
candidate_1    11210  Hopeful
candidate_3    10110  Hopeful
candidate_4     9061  Rejected

ROUND 2
Candidate      Votes  Status
-----------  -------  --------
candidate_2    15605  Hopeful
candidate_1    14787  Hopeful
candidate_3    11225  Rejected
candidate_4        0  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_2    25019  Elected
candidate_1    16598  Rejected
candidate_3        0  Rejected
candidate_4        0  Rejected
",42595.0,51860.0,21335.0,9061.0,0.0,0.0
5,candidate_4,3,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_1     2731  Hopeful
candidate_4     2637  Hopeful
candidate_3     2104  Hopeful
candidate_2     1718  Rejected

ROUND 2
Candidate      Votes  Status
-----------  -------  --------
candidate_1     3584  Hopeful
candidate_4     3052  Hopeful
candidate_3     2554  Rejected
candidate_2        0  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_4     4771  Elected
candidate_1     4419  Rejected
candidate_3        0  Rejected
candidate_2        0  Rejected
",10734.0,1718.0,4658.0,10460.0,0.0,5689.0
6,candidate_3,2,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_2     8807  Hopeful
candidate_3     8199  Hopeful
candidate_1     1816  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_3     9855  Elected
candidate_2     8967  Rejected
candidate_1        0  Rejected
",1816.0,17774.0,18054.0,0.0,0.0,0.0
7,candidate_3,3,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_3     8907  Hopeful
candidate_1     7646  Hopeful
candidate_2     7418  Hopeful
candidate_4     7277  Rejected

ROUND 2
Candidate      Votes  Status
-----------  -------  --------
candidate_3    11452  Hopeful
candidate_1    10753  Hopeful
candidate_2     9043  Rejected
candidate_4        0  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_3    17217  Elected
candidate_1    14031  Rejected
candidate_2        0  Rejected
candidate_4        0  Rejected
",32430.0,16461.0,37576.0,7277.0,0.0,0.0
8,candidate_2,2,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_1     2244  Hopeful
candidate_2     2034  Hopeful
candidate_3     1445  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_2     3091  Elected
candidate_1     2632  Rejected
candidate_3        0  Rejected
",4876.0,5125.0,1445.0,0.0,0.0,0.0
9,candidate_3,5,"ROUND 1
Candidate      Votes  Status
-----------  -------  --------
candidate_6     4300  Hopeful
candidate_3     4260  Hopeful
candidate_1     4224  Hopeful
candidate_2     4188  Hopeful
candidate_5     4162  Hopeful
candidate_4     3847  Rejected

ROUND 2
Candidate      Votes  Status
-----------  -------  --------
candidate_2     5095  Hopeful
candidate_6     5068  Hopeful
candidate_3     5030  Hopeful
candidate_5     4912  Hopeful
candidate_1     4876  Rejected
candidate_4        0  Rejected

ROUND 3
Candidate      Votes  Status
-----------  -------  --------
candidate_3     6496  Hopeful
candidate_2     6237  Hopeful
candidate_6     6156  Hopeful
candidate_5     6092  Rejected
candidate_1        0  Rejected
candidate_4        0  Rejected

ROUND 4
Candidate      Votes  Status
-----------  -------  --------
candidate_3     8630  Hopeful
candidate_6     8192  Hopeful
candidate_2     8159  Rejected
candidate_5        0  Rejected
candidate_1        0  Rejected
candidate_4        0  Rejected

FINAL RESULT
Candidate      Votes  Status
-----------  -------  --------
candidate_3    12654  Elected
candidate_6    12327  Rejected
candidate_2        0  Rejected
candidate_5        0  Rejected
candidate_1        0  Rejected
candidate_4        0  Rejected
",9100.0,23679.0,37070.0,3847.0,0.0,0.0
