Round: 1,Election,Round: 2,Round: 3,Round: 4,Round: 5,pyrankvote_winner,filename
"[{'candidate_3': ' 8110'}, {'candidate_2': ' 5635'}, {'candidate_1': ' 1760'}]",election_09-22-2020_23-00-57_3cands_0.02666666666666667noise.csv,,,,,[<Candidate('candidate_3')>],election_09-22-2020_23-00-57_3cands_0.02666666666666667noise.csv
"[{'candidate_1': '22255'}, {'candidate_2': '16095'}, {'candidate_3': ' 7519'}]",election_09-22-2020_23-00-57_3cands_0.04666666666666667noise.csv,"[{'candidate_1': '27421'}, {'candidate_2': '18448'}, {'candidate_3': '0'}]",,,,[<Candidate('candidate_1')>],election_09-22-2020_23-00-57_3cands_0.04666666666666667noise.csv
"[{'candidate_4': '10705'}, {'candidate_2': ' 9746'}, {'candidate_3': ' 9159'}, {'candidate_1': ' 7662'}]",election_09-22-2020_23-00-57_4cands_0.03noise.csv,"[{'candidate_4': '12922'}, {'candidate_2': '12451'}, {'candidate_3': '11899'}, {'candidate_1': '0'}]","[{'candidate_2': '21513'}, {'candidate_4': '15759'}, {'candidate_3': '0'}, {'candidate_1': '0'}]",,,[<Candidate('candidate_2')>],election_09-22-2020_23-00-57_4cands_0.03noise.csv
"[{'candidate_2': ' 6023'}, {'candidate_3': ' 3712'}, {'candidate_1': ' 1869'}]",election_09-22-2020_23-05-19_3cands_0.0033333333333333335noise.csv,,,,,[<Candidate('candidate_2')>],election_09-22-2020_23-05-19_3cands_0.0033333333333333335noise.csv
"[{'candidate_4': '11451'}, {'candidate_2': '11288'}, {'candidate_1': '10579'}, {'candidate_3': '10522'}]",election_09-22-2020_23-05-19_4cands_0.035noise.csv,"[{'candidate_2': '16510'}, {'candidate_4': '15331'}, {'candidate_1': '11999'}, {'candidate_3': '0'}]","[{'candidate_2': '23753'}, {'candidate_4': '20087'}, {'candidate_1': '0'}, {'candidate_3': '0'}]",,,[<Candidate('candidate_2')>],election_09-22-2020_23-05-19_4cands_0.035noise.csv
"[{'candidate_5': ' 5064'}, {'candidate_3': ' 4508'}, {'candidate_2': ' 4507'}, {'candidate_4': ' 4274'}, {'candidate_1': ' 3775'}]",election_09-22-2020_23-05-19_5cands_0.026000000000000002noise.csv,"[{'candidate_5': ' 6181'}, {'candidate_4': ' 5394'}, {'candidate_2': ' 5338'}, {'candidate_3': ' 5215'}, {'candidate_1': '0'}]","[{'candidate_5': ' 7964'}, {'candidate_2': ' 7407'}, {'candidate_4': ' 6757'}, {'candidate_3': '0'}, {'candidate_1': '0'}]","[{'candidate_5': '11690'}, {'candidate_2': '10438'}, {'candidate_4': '0'}, {'candidate_3': '0'}, {'candidate_1': '0'}]",,[<Candidate('candidate_5')>],election_09-22-2020_23-05-19_5cands_0.026000000000000002noise.csv
"[{'candidate_1': ' 9644'}, {'candidate_2': ' 7972'}, {'candidate_3': ' 1837'}]",election_09-22-2020_23-05-20_3cands_0.013333333333333334noise.csv,"[{'candidate_1': '11082'}, {'candidate_2': ' 8371'}, {'candidate_3': '0'}]",,,,[<Candidate('candidate_1')>],election_09-22-2020_23-05-20_3cands_0.013333333333333334noise.csv
"[{'candidate_3': ' 1976'}, {'candidate_1': ' 1375'}, {'candidate_2': ' 1005'}]",election_09-22-2020_23-05-20_3cands_0.03333333333333333noise.csv,"[{'candidate_3': ' 2410'}, {'candidate_1': ' 1946'}, {'candidate_2': '0'}]",,,,[<Candidate('candidate_3')>],election_09-22-2020_23-05-20_3cands_0.03333333333333333noise.csv
"[{'candidate_2': ' 1241'}, {'candidate_3': '712'}, {'candidate_1': '672'}]",election_09-22-2020_23-05-20_3cands_0.03666666666666667noise.csv,"[{'candidate_2': ' 1757'}, {'candidate_3': '868'}, {'candidate_1': '0'}]",,,,[<Candidate('candidate_2')>],election_09-22-2020_23-05-20_3cands_0.03666666666666667noise.csv
"[{'candidate_3': ' 6369'}, {'candidate_1': ' 6063'}, {'candidate_4': ' 5497'}, {'candidate_2': ' 5022'}]",election_09-22-2020_23-05-20_4cands_0.0225noise.csv,"[{'candidate_1': ' 8348'}, {'candidate_3': ' 7474'}, {'candidate_4': ' 7129'}, {'candidate_2': '0'}]","[{'candidate_1': '11525'}, {'candidate_3': '11426'}, {'candidate_4': '0'}, {'candidate_2': '0'}]",,,[<Candidate('candidate_1')>],election_09-22-2020_23-05-20_4cands_0.0225noise.csv
