round1winnervotes,round2winnervotes,round3winnervotes,round4winnervotes,round5winnervotes,round6winnervotes,round7winnervotes,total_votes_allrounds,num_candidates,noise,spoiled
27423,0,0,0,0,0,0,27423,3,0.0033333333333333327,1
12492,21269,0,0,0,0,0,33761,3,0.01,1
18526,21309,0,0,0,0,0,39835,3,0.03333333333333333,1
 8178,0,0,0,0,0,0,8178,3,0.043333333333333335,1
800,901, 1522,0,0,0,0,3223,4,0.035,1
 8802,11372,0,0,0,0,0,20174,3,0.013333333333333334,1
 6590,10312,0,0,0,0,0,16902,3,0.01,1
 2095, 2766,0,0,0,0,0,4861,3,0.02333333333333333,1
10450,15018,0,0,0,0,0,25468,3,0.02666666666666667,1
16674,21898,0,0,0,0,0,38572,3,0.043333333333333335,1
 3555, 4645, 7221,0,0,0,0,15421,4,0.0025,1
 1376, 1668, 2323,0,0,0,0,5367,4,0.005,1
 2284, 3147, 4538,0,0,0,0,9969,4,0.0225,1
 5416, 6282, 8882,0,0,0,0,20580,4,0.0275,1
824,979, 1235, 1679,0,0,0,4717,5,0.012,1
 7497, 9348,12088,19239,0,0,0,48172,5,0.028000000000000004,1
 6580, 8893,0,0,0,0,0,15473,3,0.013333333333333334,1
15201,24716,0,0,0,0,0,39917,3,0.01,1
22729,27818,0,0,0,0,0,50547,3,0.043333333333333335,1
 6880, 8300,0,0,0,0,0,15180,3,0.04666666666666667,1
13040,16716,0,0,0,0,0,29756,3,0.0,1
 5766, 7775,11308,0,0,0,0,24849,4,0.0125,1
 3224, 3927, 5410,0,0,0,0,12561,4,0.035,1
 4927, 7200, 9767,0,0,0,0,21894,4,0.0,1
24133,0,0,0,0,0,0,24133,3,0.02666666666666667,1
10890,0,0,0,0,0,0,10890,3,0.04666666666666667,1
 7252, 9512,13311,0,0,0,0,30075,4,0.025,1
10348,13679,22252,0,0,0,0,46279,4,0.02,1
 1224, 1424, 1791, 2363, 3521,0,0,10323,6,0.0033333333333333327,1
18763,25002,0,0,0,0,0,43765,3,0.016666666666666666,1
 2873,0,0,0,0,0,0,2873,3,0.01,1
16738,22556,0,0,0,0,0,39294,3,0.043333333333333335,1
17422,23459,0,0,0,0,0,40881,3,0.04,1
17796,23572,0,0,0,0,0,41368,3,0.0,1
 3871, 4953, 7907,0,0,0,0,16731,4,0.0025,1
877, 1301, 2002,0,0,0,0,4180,4,0.0275,1
 7861, 9129,11170,15983,0,0,0,44143,5,0.012,1
 1558, 2290,0,0,0,0,0,3848,3,0.02666666666666667,1
 7178,11586,0,0,0,0,0,18764,3,0.043333333333333335,1
 6093,11730,0,0,0,0,0,17823,3,0.0,1
10764,15262,21011,0,0,0,0,47037,4,0.0225,1
10969,13587,21412,0,0,0,0,45968,4,0.0325,1
14903,18495,27166,0,0,0,0,60564,4,0.035,1
11492,14906,18970,0,0,0,0,45368,4,0.03,1
 1696, 2407,0,0,0,0,0,4103,3,0.006666666666666667,1
19684,0,0,0,0,0,0,19684,3,0.03,1
 7138, 8350,11814,0,0,0,0,27302,4,0.0125,1
12324,13888,18118,0,0,0,0,44330,4,0.01,1
 4979, 5856, 8457,0,0,0,0,19292,4,0.035,1
 2501, 3019, 3931, 6050,0,0,0,15501,5,0.024,1
18258,0,0,0,0,0,0,18258,3,0.006666666666666667,1
20271,0,0,0,0,0,0,20271,3,0.016666666666666666,1
13853,0,0,0,0,0,0,13853,3,0.01,1
18425,27084,0,0,0,0,0,45509,3,0.02,1
12426,18327,0,0,0,0,0,30753,3,0.03,1
 4579, 5542, 7075,11264,0,0,0,28460,5,0.008,1
14828,25942,0,0,0,0,0,40770,3,0.0033333333333333327,1
 7523, 7974,0,0,0,0,0,15497,3,0.02333333333333333,1
18268,24048,0,0,0,0,0,42316,3,0.03,1
 4667, 6704,0,0,0,0,0,11371,3,0.04666666666666667,1
 4215, 5722, 8268,0,0,0,0,18205,4,0.0125,1
175,236,308,0,0,0,0,719,4,0.0175,1
413,443,759,0,0,0,0,1615,4,0.0275,1
 1388, 1629, 2173,0,0,0,0,5190,4,0.02,1
 4083, 4954, 6353, 8264,12467,0,0,36121,6,0.006666666666666667,1
 8945,0,0,0,0,0,0,8945,3,0.03333333333333333,1
11429,13869,0,0,0,0,0,25298,3,0.03666666666666667,1
934, 1694,0,0,0,0,0,2628,3,0.03,1
12967,19530,0,0,0,0,0,32497,3,0.04,1
 4509, 5235, 6254, 7813,10452,15623,0,49886,7,0.01857142857142857,1
 3751, 6726,0,0,0,0,0,10477,3,0.03666666666666667,1
10879,15333,19636,0,0,0,0,45848,4,0.0,1
 2624, 3362,0,0,0,0,0,5986,3,0.02666666666666667,1
 5172,0,0,0,0,0,0,5172,3,0.03333333333333333,1
13254,0,0,0,0,0,0,13254,3,0.04,1
 6147, 6488, 9833,0,0,0,0,22468,4,0.0075,1
15441,19223,26361,0,0,0,0,61025,4,0.03,1
 9776,12788,16171,23964,0,0,0,62699,5,0.016,1
 6456, 8774,0,0,0,0,0,15230,3,0.0033333333333333327,1
12485,14230,0,0,0,0,0,26715,3,0.016666666666666666,1
10971,17718,0,0,0,0,0,28689,3,0.02666666666666667,1
14958,25205,0,0,0,0,0,40163,3,0.03,1
 8592,10966,0,0,0,0,0,19558,3,0.04666666666666667,1
10696,12926,16911,24390,0,0,0,64923,5,0.02,1
20832,27730,0,0,0,0,0,48562,3,0.006666666666666667,1
350,0,0,0,0,0,0,350,3,0.01,1
19928,25307,0,0,0,0,0,45235,3,0.03333333333333333,1
20002,0,0,0,0,0,0,20002,3,0.03,1
 3916, 4292, 5557,0,0,0,0,13765,4,0.005,1
446,531,793,0,0,0,0,1770,4,0.0275,1
 2451, 3117, 4177, 6023,0,0,0,15768,5,0.006,1
 9730,14065,0,0,0,0,0,23795,3,0.013333333333333334,1
 7189,11262,0,0,0,0,0,18451,3,0.043333333333333335,1
21698,30644,0,0,0,0,0,52342,3,0.04,1
18213,20623,27020,0,0,0,0,65856,4,0.015,1
 9599,12761,17947,0,0,0,0,40307,4,0.0275,1
14024,17261,25374,0,0,0,0,56659,4,0.03,1
 2796, 3266, 3941,0,0,0,0,10003,4,0.0,1
14400,17442,0,0,0,0,0,31842,3,0.0033333333333333327,1
 6215, 9674,0,0,0,0,0,15889,3,0.03666666666666667,1
16717,24697,0,0,0,0,0,41414,3,0.043333333333333335,1
23921,27543,0,0,0,0,0,51464,3,0.04666666666666667,1
462,0,0,0,0,0,0,462,3,0.04,1
 5046, 6674, 8815,0,0,0,0,20535,4,0.005,1
 8945,11606,15834,0,0,0,0,36385,4,0.015,1
 8128,10349,14339,0,0,0,0,32816,4,0.0175,1
 5981, 7475,10096,0,0,0,0,23552,4,0.035,1
 2184, 2510, 3024, 3787, 5032, 7554,0,24091,7,0.017142857142857144,1
 4185, 5940,0,0,0,0,0,10125,3,0.013333333333333334,1
12594,15192,0,0,0,0,0,27786,3,0.016666666666666666,1
 7021, 8695,0,0,0,0,0,15716,3,0.01,1
11245,0,0,0,0,0,0,11245,3,0.02666666666666667,1
 2734, 4113,0,0,0,0,0,6847,3,0.03,1
 9981,12092,0,0,0,0,0,22073,3,0.0,1
 7121, 9404,13014,0,0,0,0,29539,4,0.0125,1
17955,23269,0,0,0,0,0,41224,3,0.0033333333333333327,1
 5495, 8515,0,0,0,0,0,14010,3,0.016666666666666666,1
933,0,0,0,0,0,0,933,3,0.03,1
18479,27284,0,0,0,0,0,45763,3,0.043333333333333335,1
14125,16675,0,0,0,0,0,30800,3,0.04,1
 7061, 8432,11383,17572,0,0,0,44448,5,0.004,1
707,859, 1130, 1670,0,0,0,4366,5,0.026,1
14272,19579,0,0,0,0,0,33851,3,0.0033333333333333327,1
14881,19223,0,0,0,0,0,34104,3,0.02666666666666667,1
