round1winnervotes,round2winnervotes,round3winnervotes,round4winnervotes,round5winnervotes,round6winnervotes,round7winnervotes,total_votes_allrounds,num_candidates,noise,spoiled
14247,20911,0,0,0,0,0,35158,3,0.16666666666666666,1
 9205,11991,0,0,0,0,0,21196,3,0.23666666666666664,1
 3561, 4492, 6425,0,0,0,0,14478,4,0.2275,1
 4950, 7219,0,0,0,0,0,12169,3,0.18333333333333332,1
10029,12034,0,0,0,0,0,22063,3,0.20666666666666667,1
12757,15129,0,0,0,0,0,27886,3,0.21,1
16314,22715,0,0,0,0,0,39029,3,0.2866666666666667,1
 3311, 4245, 5774,0,0,0,0,13330,4,0.1375,1
 6389, 7630,10421,16033,0,0,0,40473,5,0.13799999999999998,1
 4604, 5647, 7162,10011,0,0,0,27424,5,0.174,1
 1040, 1421,0,0,0,0,0,2461,3,0.21666666666666667,1
 7813,10278,0,0,0,0,0,18091,3,0.2333333333333333,1
 3621, 4129, 4793, 5782, 7196, 9590,14361,49472,8,0.11875,1
 8859,11675,0,0,0,0,0,20534,3,0.16666666666666666,1
 8737,11809,0,0,0,0,0,20546,3,0.33,1
10329,13818,21598,0,0,0,0,45745,4,0.155,1
 7940,10575,0,0,0,0,0,18515,3,0.19333333333333333,1
 5104, 7614,0,0,0,0,0,12718,3,0.2466666666666667,1
 7624,11740,0,0,0,0,0,19364,3,0.2533333333333333,1
 7517,11691,0,0,0,0,0,19208,3,0.3033333333333333,1
 7946, 9789,14391,0,0,0,0,32126,4,0.1725,1
 1234, 1477, 2164,0,0,0,0,4875,4,0.245,1
 9174,10925,14281,21202,0,0,0,55582,5,0.106,1
 8972,11390,14749,21807,0,0,0,56918,5,0.11800000000000001,1
19438,23752,0,0,0,0,0,43190,3,0.17666666666666667,1
490,610,0,0,0,0,0,1100,3,0.3066666666666667,1
 7523, 9312,0,0,0,0,0,16835,3,0.3133333333333333,1
 7933,10687,0,0,0,0,0,18620,3,0.31666666666666665,1
 4712, 6484,0,0,0,0,0,11196,3,0.31,1
 6273, 9402,0,0,0,0,0,15675,3,0.3,1
 9067,11018,16360,0,0,0,0,36445,4,0.1525,1
16305,19057,26256,0,0,0,0,61618,4,0.165,1
 2578, 3337, 4709,0,0,0,0,10624,4,0.235,1
 1148, 1475, 1940, 2871,0,0,0,7434,5,0.128,1
 4282, 5753,0,0,0,0,0,10035,3,0.20666666666666667,1
12350,17289,0,0,0,0,0,29639,3,0.2333333333333333,1
16834,22437,0,0,0,0,0,39271,3,0.27,1
 2535, 2797,0,0,0,0,0,5332,3,0.29,1
 9149,10080,14953,0,0,0,0,34182,4,0.175,1
13132,17240,24077,0,0,0,0,54449,4,0.1825,1
10732,12872,17684,0,0,0,0,41288,4,0.245,1
 5226, 6285, 7880,11649,0,0,0,31040,5,0.136,1
 6260, 7349, 9617,14109,0,0,0,37335,5,0.16399999999999998,1
18449,24545,0,0,0,0,0,42994,3,0.17666666666666667,1
 7774,11112,0,0,0,0,0,18886,3,0.2866666666666667,1
 8080,10333,16252,0,0,0,0,34665,4,0.1625,1
13809,16071,24860,0,0,0,0,54740,4,0.165,1
 2450, 3124, 4579,0,0,0,0,10153,4,0.21,1
 8633,10439,14160,22086,0,0,0,55318,5,0.19399999999999998,1
 5592, 7865,0,0,0,0,0,13457,3,0.16666666666666666,1
15511,22464,0,0,0,0,0,37975,3,0.17333333333333334,1
 3142, 3960,0,0,0,0,0,7102,3,0.18333333333333332,1
 6988, 9757,0,0,0,0,0,16745,3,0.21,1
 9017,12468,0,0,0,0,0,21485,3,0.2966666666666667,1
818, 1054,0,0,0,0,0,1872,3,0.29,1
20368,24910,0,0,0,0,0,45278,3,0.18000000000000002,1
19597,28635,0,0,0,0,0,48232,3,0.19,1
12950,0,0,0,0,0,0,12950,3,0.23666666666666664,1
803,892, 1219, 1873,0,0,0,4787,5,0.104,1
689,829, 1051, 1521,0,0,0,4090,5,0.11200000000000003,1
23228,28222,0,0,0,0,0,51450,3,0.19,1
16248,24418,0,0,0,0,0,40666,3,0.2466666666666667,1
 5735, 7240,0,0,0,0,0,12975,3,0.24,1
 9212,12556,0,0,0,0,0,21768,3,0.27,1
 2480, 2964, 4601,0,0,0,0,10045,4,0.1575,1
 4751, 6589,10363,0,0,0,0,21703,4,0.1625,1
551,693, 1001,0,0,0,0,2245,4,0.185,1
 2061, 2594, 3385, 4797,0,0,0,12837,5,0.102,1
 8219,10251,13517,19214,0,0,0,51201,5,0.18600000000000003,1
 2957, 3492,0,0,0,0,0,6449,3,0.17333333333333334,1
14096,19189,0,0,0,0,0,33285,3,0.23,1
10851,14117,0,0,0,0,0,24968,3,0.2433333333333333,1
 3252, 5155,0,0,0,0,0,8407,3,0.26666666666666666,1
 2556, 2840,0,0,0,0,0,5396,3,0.2733333333333333,1
13644,21282,0,0,0,0,0,34926,3,0.2933333333333333,1
 8807,11816,17886,0,0,0,0,38509,4,0.135,1
 6960, 8890,11370,17370,0,0,0,44590,5,0.17600000000000002,1
 6846, 9393,0,0,0,0,0,16239,3,0.18000000000000002,1
 9866,11692,0,0,0,0,0,21558,3,0.21,1
13586,17394,0,0,0,0,0,30980,3,0.23,1
 4324, 5332,0,0,0,0,0,9656,3,0.22,1
23206,28284,0,0,0,0,0,51490,3,0.24,1
12523,19865,0,0,0,0,0,32388,3,0.3133333333333333,1
 8839,13539,0,0,0,0,0,22378,3,0.3233333333333333,1
 9448,11375,17248,0,0,0,0,38071,4,0.15,1
 4401, 6629,0,0,0,0,0,11030,3,0.17,1
 8410,12733,0,0,0,0,0,21143,3,0.3233333333333333,1
13454,20348,0,0,0,0,0,33802,3,0.33,1
 2431, 2950, 4499,0,0,0,0,9880,4,0.1675,1
11075,14257,20464,0,0,0,0,45796,4,0.185,1
 1820, 2355, 3384,0,0,0,0,7559,4,0.235,1
 6177, 7704,10316,15002,0,0,0,39199,5,0.128,1
 4893, 5927, 7738,10906,0,0,0,29464,5,0.12,1
 9448,11611,15491,22770,0,0,0,59320,5,0.14800000000000002,1
 2131,0,0,0,0,0,0,2131,3,0.18666666666666668,1
15826,23951,0,0,0,0,0,39777,3,0.21666666666666667,1
10334,12805,0,0,0,0,0,23139,3,0.26,1
 5933, 7661,0,0,0,0,0,13594,3,0.2766666666666667,1
15644,21739,0,0,0,0,0,37383,3,0.2933333333333333,1
 6399, 8879,12824,0,0,0,0,28102,4,0.165,1
